Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
IGLV1-40,1.03000666666667,2.04203368759187,1.33205,0.68958,1.06839,6.40605537210693,0.0001169793099406,0.965864665352879,0.031241962203170187,-3.34849044750983,True,False,True,True
LOC100128751,-0.908313333333334,1.87684997449657,-1.13202,-0.7713,-0.82162,-6.26478738545407,0.0001385290891613,0.965864665352879,0.015072453400007586,-3.36201329112731,True,False,True,True
PLEKHM1P,-0.99143,1.9881546743813,-0.72378,-0.86894,-1.38157,-6.03841565730648,0.0001826077190711,0.965864665352879,0.03819423296676226,-3.3850819807786,True,False,True,True
FAM91A1,-0.81523,1.75957864829054,-0.97673,-0.781000000000001,-0.68796,-5.79063202674291,0.0002489962108272,0.965864665352879,0.010721747111476896,-3.41247589964126,True,False,True,True
LOC100131174,0.747926666666667,1.67937761962212,0.77823,0.76897,0.69658,5.51692248835252,0.0003541166711059,0.965864665352879,0.0011889247089366172,-3.44560932767074,True,False,True,True
UBE2Q2L,0.760473333333333,1.69404633265362,0.67357,0.94596,0.66189,5.36121477546404,0.0004346787897287,0.965864665352879,0.014567981176902457,-3.46592801454644,True,False,True,True
SLED1,-0.712703333333333,1.63887217333352,-0.78666,-0.63682,-0.71463,-5.21971764480583,0.0005252334951624,0.965864665352879,0.0036650455497061057,-3.48538694918671,True,False,True,True
TOMM40L,-0.703596666666667,1.62855976707477,-0.65912,-0.58929,-0.86238,-5.01247293988361,0.0006965668000718,0.965864665352879,0.013283553758556338,-3.51570993652097,True,False,True,True
PHC1,-0.682983333333333,1.60545623036712,-0.49818,-0.65781,-0.89296,-4.70027552110756,0.0010783214249853,0.965864665352879,0.027044144516826234,-3.56582726422612,True,False,True,True
IGKV2-29,-0.63825,1.55644004024995,-0.74958,-0.56508,-0.60009,-4.63834777467144,0.0011779436144264,0.965864665352879,0.007765794869727004,-3.57644814960986,True,False,True,True
SH2D1A,-0.63476,1.55267943202744,-0.62094,-0.555829999999999,-0.72751,-4.6317008575256,0.0011892083132155,0.965864665352879,0.0061570872664969325,-3.57760209409346,True,False,True,True
MIR339,0.683006666666667,1.60548219631782,0.504119999999999,0.95669,0.58821,4.55681077008955,0.001324406707251,0.965864665352879,0.038998071060638156,-3.59079364532929,True,False,True,True
RABGGTB,-0.687663333333333,1.61067267238685,-0.84089,-0.83121,-0.39089,-4.52837947520265,0.0013799621533805,0.965864665352879,0.04355841057974846,-3.5958943105142,True,False,True,True
DNTTIP2,-0.634046666666667,1.5519119072281,-0.5494,-0.82043,-0.53231,-4.46758387311541,0.0015072941533728,0.965864665352879,0.020983958745901178,-3.6069753848902,True,False,True,True
CISD1,0.616583333333333,1.53323977870926,0.65396,0.71455,0.48124,4.43783199037033,0.0015741305419868,0.965864665352879,0.012607845141659427,-3.61248579765219,True,False,True,True
LOC440602,0.619623333333333,1.53647397793459,0.7699,0.48944,0.59953,4.41555823341805,0.001626236345769,0.965864665352879,0.016897562885138818,-3.61664930978679,True,False,True,True
SLC52A3,0.640686666666667,1.55907103986483,0.59653,0.86903,0.4565,4.3747438816905,0.0017265517705235,0.965864665352879,0.03392847861237241,-3.62436409414836,True,False,True,True
R3HDM1,-0.611526666666667,1.52787515847415,-0.4262,-0.60142,-0.80696,-4.23139048262044,0.0021345535617501,0.965864665352879,0.0308829313111011,-3.65235726610622,True,False,True,True
SGOL1,-0.624573333333333,1.54175479510197,-0.69923,-0.37481,-0.79968,-4.22672985540784,0.0021494313939151,0.965864665352879,0.03964561278472497,-3.65329123160667,True,False,True,True
LOC100128653,0.641616666666667,1.56007638296249,0.62617,0.90717,0.39151,4.22130464463811,0.0021668890177208,0.965864665352879,0.049961035476292194,-3.65438033731902,True,False,True,True
PRKX,-0.587286666666667,1.50241843111843,-0.69543,-0.44191,-0.62452,-4.20749669943593,0.0022120051169527,0.965864665352879,0.016134765639029436,-3.65716161662111,True,False,True,True
OR2L3,-0.60761,1.5237328679148,-0.35679,-0.71657,-0.74947,-4.12475340664478,0.0025041460749019,0.965864665352879,0.04027422179800182,-3.67411219373677,True,False,True,True
LOC100996579,0.58799,1.50315105898027,0.7612,0.41002,0.59275,4.10803512803849,0.0025680023373888,0.965864665352879,0.02847811824909203,-3.67759677603177,True,False,True,True
