Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
IGLV1-40,1.03000666666667,2.04203368759187,1.33205,0.68958,1.06839,6.40605537210693,0.0001169793099406,0.965864665352879,0.031241962203170187,-3.34849044750983,True,False,True,True
LOC100128751,-0.908313333333334,1.87684997449657,-1.13202,-0.7713,-0.82162,-6.26478738545407,0.0001385290891613,0.965864665352879,0.015072453400007586,-3.36201329112731,True,False,True,True
PLEKHM1P,-0.99143,1.9881546743813,-0.72378,-0.86894,-1.38157,-6.03841565730648,0.0001826077190711,0.965864665352879,0.03819423296676226,-3.3850819807786,True,False,True,True
FAM91A1,-0.81523,1.75957864829054,-0.97673,-0.781000000000001,-0.68796,-5.79063202674291,0.0002489962108272,0.965864665352879,0.010721747111476896,-3.41247589964126,True,False,True,True
LOC100131174,0.747926666666667,1.67937761962212,0.77823,0.76897,0.69658,5.51692248835252,0.0003541166711059,0.965864665352879,0.0011889247089366172,-3.44560932767074,True,False,True,True
MIR3689E,-1.27266666666667,2.41607738987511,-1.23657,-2.01043,-0.571,-5.37104398871018,0.000429047286118,0.965864665352879,0.0922617251740123,-3.46461211851814,True,False,True,False
UBE2Q2L,0.760473333333333,1.69404633265362,0.67357,0.94596,0.66189,5.36121477546404,0.0004346787897287,0.965864665352879,0.014567981176902457,-3.46592801454644,True,False,True,True
HIST1H4D,-1.00372,2.00516366944261,-0.48917,-1.47742,-1.04457,-5.2782743758826,0.0004855032290609,0.965864665352879,0.07248107418995714,-3.47721573241952,True,False,True,False
SLED1,-0.712703333333333,1.63887217333352,-0.78666,-0.63682,-0.71463,-5.21971764480583,0.0005252334951624,0.965864665352879,0.0036650455497061057,-3.48538694918671,True,False,True,True
TOMM40L,-0.703596666666667,1.62855976707477,-0.65912,-0.58929,-0.86238,-5.01247293988361,0.0006965668000718,0.965864665352879,0.013283553758556338,-3.51570993652097,True,False,True,True
UBE2A,-0.80002,1.74112526354629,-0.84457,-0.44583,-1.10966,-4.92472653600727,0.000786473890032,0.965864665352879,0.05352525794367535,-3.52923755807635,True,False,True,False
MIR4731,0.792426666666667,1.73198527747416,0.84538,1.12817,0.40373,4.73806732496956,0.0010219926450031,0.965864665352879,0.06404111607281134,-3.55945989687565,True,False,True,False
LINC01094,-0.93786,1.91568452823907,-1.56087,-0.67659,-0.57612,-4.70795851466123,0.0010666059464533,0.965864665352879,0.0955881838107051,-3.56452584432927,True,False,True,False
PHC1,-0.682983333333333,1.60545623036712,-0.49818,-0.65781,-0.89296,-4.70027552110756,0.0010783214249853,0.965864665352879,0.027044144516826234,-3.56582726422612,True,False,True,True
IGKV1-12,1.11478333333333,2.16562482900028,0.61856,0.77529,1.9505,4.6714437945471,0.0011235308094225,0.965864665352879,0.11759570141966542,-3.57074292395636,True,False,True,False
LOC145474,-0.938496666666667,1.91653011348514,-0.30104,-1.1802,-1.33425,-4.63884785286316,0.0011771007533208,0.965864665352879,0.10021882413917979,-3.57636144334448,True,False,True,False
IGKV2-29,-0.63825,1.55644004024995,-0.74958,-0.56508,-0.60009,-4.63834777467144,0.0011779436144264,0.965864665352879,0.007765794869727004,-3.57644814960986,True,False,True,True
SH2D1A,-0.63476,1.55267943202744,-0.62094,-0.555829999999999,-0.72751,-4.6317008575256,0.0011892083132155,0.965864665352879,0.0061570872664969325,-3.57760209409346,True,False,True,True
HIST1H2BL,-0.73351,1.66267938488967,-0.83141,-0.3898,-0.97932,-4.62938567614687,0.0011931589502968,0.965864665352879,0.05363508243783933,-3.57800466437877,True,False,True,False
SNORA31,-0.739893333333333,1.67005235780309,-1.11851,-0.53753,-0.56364,-4.57985432528406,0.0012811344069664,0.965864665352879,0.05975128336810816,-3.58669717233529,True,False,True,False
MIR339,0.683006666666667,1.60548219631782,0.504119999999999,0.95669,0.58821,4.55681077008955,0.001324406707251,0.965864665352879,0.038998071060638156,-3.59079364532929,True,False,True,True
TRAJ52,-0.769286666666667,1.70442682985118,-0.3326,-1.02315,-0.95211,-4.53516166371297,0.001366486985183,0.965864665352879,0.07253630630588365,-3.59467288519454,True,False,True,False
RABGGTB,-0.687663333333333,1.61067267238685,-0.84089,-0.83121,-0.39089,-4.52837947520265,0.0013799621533805,0.965864665352879,0.04355841057974846,-3.5958943105142,True,False,True,True
DNTTIP2,-0.634046666666667,1.5519119072281,-0.5494,-0.82043,-0.53231,-4.46758387311541,0.0015072941533728,0.965864665352879,0.020983958745901178,-3.6069753848902,True,False,True,True
CISD1,0.616583333333333,1.53323977870926,0.65396,0.71455,0.48124,4.43783199037033,0.0015741305419868,0.965864665352879,0.012607845141659427,-3.61248579765219,True,False,True,True
LOC440602,0.619623333333333,1.53647397793459,0.7699,0.48944,0.59953,4.41555823341805,0.001626236345769,0.965864665352879,0.016897562885138818,-3.61664930978679,True,False,True,True
MIR4267,0.970413333333333,1.95940188504045,0.72622,1.69885,0.48617,4.4128862028531,0.0016326097218826,0.965864665352879,0.12020804079368198,-3.61715098446034,True,False,True,False
SLC52A3,0.640686666666667,1.55907103986483,0.59653,0.86903,0.4565,4.3747438816905,0.0017265517705235,0.965864665352879,0.03392847861237241,-3.62436409414836,True,False,True,True
RAB6C,0.681406666666667,1.60370264655963,0.52504,0.4853,1.03388,4.30367181099192,0.0019173238961259,0.965864665352879,0.06108567889025364,-3.63806622609718,True,False,True,False
MIR548X2,0.77688,1.71342138522553,1.01526,1.05363,0.26175,4.28967443699134,0.0019574769231936,0.965864665352879,0.09473196323881651,-3.64080545575834,True,False,True,False
R3HDM1,-0.611526666666667,1.52787515847415,-0.4262,-0.60142,-0.80696,-4.23139048262044,0.0021345535617501,0.965864665352879,0.0308829313111011,-3.65235726610622,True,False,True,True
SGOL1,-0.624573333333333,1.54175479510197,-0.69923,-0.37481,-0.79968,-4.22672985540784,0.0021494313939151,0.965864665352879,0.03964561278472497,-3.65329123160667,True,False,True,True
LOC100128653,0.641616666666667,1.56007638296249,0.62617,0.90717,0.39151,4.22130464463811,0.0021668890177208,0.965864665352879,0.049961035476292194,-3.65438033731902,True,False,True,True
CROCCP2,-0.640293333333333,1.55864603596329,-0.93141,-0.55596,-0.43351,-4.20824290492352,0.0022095416049163,0.965864665352879,0.05060846930370893,-3.6570109677428,True,False,True,False
PRKX,-0.587286666666667,1.50241843111843,-0.69543,-0.44191,-0.62452,-4.20749669943593,0.0022120051169527,0.965864665352879,0.016134765639029436,-3.65716161662111,True,False,True,True
LOC284926,-0.660006666666667,1.58008992527573,-0.71423,-0.9257,-0.34009,-4.20315263544761,0.0022264046610196,0.965864665352879,0.06118201845172467,-3.65803940593285,True,False,True,False
CARD8-AS1,-0.709676666666667,1.63543754572085,-1.14326,-0.49509,-0.49068,-4.20128647216354,0.0022326211263394,0.965864665352879,0.08200531831608891,-3.65841690443498,True,False,True,False
CPVL,0.97692,1.96825889759301,1.60846,0.21214,1.11016,4.17267271447158,0.0023302837849829,0.965864665352879,0.13926942350259713,-3.66423599183687,True,False,True,False
TEX13A,0.656873333333333,1.5766619132592,0.88328,0.315,0.77234,4.16598482059857,0.0023537588069091,0.965864665352879,0.06349263321598161,-3.66560448873671,True,False,True,False
PMCHL1,0.722513333333333,1.65005410769453,1.0847,0.79445,0.28839,4.16467084608941,0.0023584004223763,0.965864665352879,0.08993389890683595,-3.66587373357475,True,False,True,False
KRTAP20-2,0.674336666666667,1.59586284600561,0.30715,0.75424,0.96162,4.14981575407456,0.0024115577458639,0.965864665352879,0.07312443135610068,-3.6689262662398,True,False,True,False
LINC01000,-0.766336666666667,1.70094520562718,-1.28359,-0.63751,-0.37791,-4.14855241681056,0.0024161368165991,0.965864665352879,0.1044678300018663,-3.66918659580858,True,False,True,False
