Gene,GO_ID,GO_term,Ontology
OR4F5,GO:0007186,G-protein coupled receptor signaling pathway,BP
OR4F5,GO:0050907,detection of chemical stimulus involved in sensory perception,BP
OR4F5,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,BP
OR4F5,GO:0007165,signal transduction,BP
OR4F5,GO:0007608,sensory perception of smell,BP
OR4F5,GO:0050896,response to stimulus,BP
OR4F5,GO:0005886,plasma membrane,CC
OR4F5,GO:0016021,integral component of membrane,CC
OR4F5,GO:0016020,membrane,CC
OR4F5,GO:0004888,transmembrane signaling receptor activity,MF
OR4F5,GO:0004930,G-protein coupled receptor activity,MF
OR4F5,GO:0004984,olfactory receptor activity,MF
OR4F5,GO:0004871,signal transducer activity,MF
OR4F29,GO:0007186,G-protein coupled receptor signaling pathway,BP
OR4F29,GO:0050907,detection of chemical stimulus involved in sensory perception,BP
OR4F29,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,BP
OR4F29,GO:0007165,signal transduction,BP
OR4F29,GO:0007608,sensory perception of smell,BP
OR4F29,GO:0050896,response to stimulus,BP
OR4F29,GO:0005886,plasma membrane,CC
OR4F29,GO:0016021,integral component of membrane,CC
OR4F29,GO:0016020,membrane,CC
OR4F29,GO:0004888,transmembrane signaling receptor activity,MF
OR4F29,GO:0004930,G-protein coupled receptor activity,MF
OR4F29,GO:0004984,olfactory receptor activity,MF
OR4F29,GO:0004871,signal transducer activity,MF
SAMD11,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,BP
SAMD11,GO:1903506,regulation of nucleic acid-templated transcription,BP
SAMD11,GO:0005634,nucleus,CC
SAMD11,GO:0032093,SAM domain binding,MF
SAMD11,GO:0042731,PH domain binding,MF
SAMD11,GO:0043621,protein self-association,MF
SAMD11,GO:0003713,transcription coactivator activity,MF
KLHL17,GO:0007420,brain development,BP
KLHL17,GO:0016567,protein ubiquitination,BP
KLHL17,GO:0030036,actin cytoskeleton organization,BP
KLHL17,GO:0005615,extracellular space,CC
KLHL17,GO:0014069,postsynaptic density,CC
KLHL17,GO:0015629,actin cytoskeleton,CC
KLHL17,GO:0030054,cell junction,CC
KLHL17,GO:0031463,Cul3-RING ubiquitin ligase complex,CC
KLHL17,GO:0032839,dendrite cytoplasm,CC
KLHL17,GO:0043025,neuronal cell body,CC
KLHL17,GO:0045211,postsynaptic membrane,CC
KLHL17,GO:0005886,plasma membrane,CC
KLHL17,GO:0016020,membrane,CC
