Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0006335,DNA replication-dependent nucleosome assembly,3,57,31,18514,36.56547619047619,0.00011698437030867864,CHAF1B;HIST1H4B;HIST1H4D,0.05018303020957816,False,False
CC,GO:0000786,nucleosome,4,57,96,18514,15.065627563576703,0.00021724255501981887,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D,0.05018303020957816,False,False
BP,GO:0035574,histone H4-K20 demethylation,2,57,15,18514,51.59160839160839,0.0009530053697677494,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
MF,GO:0035575,histone demethylase activity (H4-K20 specific),2,57,15,18514,51.59160839160839,0.0009530053697677494,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0045653,negative regulation of megakaryocyte differentiation,2,57,17,18514,44.70787878787879,0.0012294976167833325,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0006336,DNA replication-independent nucleosome assembly,2,57,26,18514,27.92878787878788,0.0028863793223306193,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0002731,negative regulation of dendritic cell cytokine production,1,57,1,18514,inf,0.003078751215296532,JAK3,0.09599606660729448,False,True
BP,GO:0045221,negative regulation of FasL biosynthetic process,1,57,1,18514,inf,0.003078751215296532,JAK3,0.09599606660729448,False,True
BP,GO:0060562,epithelial tube morphogenesis,1,57,1,18514,inf,0.003078751215296532,PRKX,0.09599606660729448,False,True
BP,GO:2000696,regulation of epithelial cell differentiation involved in kidney development,1,57,1,18514,inf,0.003078751215296532,PRKX,0.09599606660729448,False,True
MF,GO:0008135,"translation factor activity, RNA binding",2,57,28,18514,25.77762237762238,0.0033438636813238366,EIF1AX;EIF5,0.09599606660729448,False,False
BP,GO:0032776,DNA methylation on cytosine,2,57,33,18514,21.61407624633431,0.004624988703244841,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0051290,protein heterotetramerization,2,57,34,18514,20.9375,0.004904380536495321,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
MF,GO:0042393,histone binding,3,57,116,18514,9.018682399213372,0.0054835096248281095,CHAF1B;HIST1H4B;HIST1H4D,0.09599606660729448,False,False
CC,GO:0005694,chromosome,5,57,373,18514,4.726431856187291,0.005737281322841288,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D;SGOL1,0.09599606660729448,False,False
BP,GO:0000022,mitotic spindle elongation,1,57,2,18514,329.57142857142856,0.006148189511668169,PRC1,0.09599606660729448,False,True
MF,GO:0008119,thiopurine S-methyltransferase activity,1,57,2,18514,329.57142857142856,0.006148189511668169,OCLN,0.09599606660729448,False,True
MF,GO:0017116,single-stranded DNA-dependent ATP-dependent DNA helicase activity,1,57,2,18514,329.57142857142856,0.006148189511668169,HELB,0.09599606660729448,False,True
BP,GO:0022402,cell cycle process,1,57,2,18514,329.57142857142856,0.006148189511668169,RAB6C,0.09599606660729448,False,True
CC,GO:0030892,mitotic cohesin complex,1,57,2,18514,329.57142857142856,0.006148189511668169,SGOL1,0.09599606660729448,False,True
BP,GO:0070669,response to interleukin-2,1,57,2,18514,329.57142857142856,0.006148189511668169,JAK3,0.09599606660729448,False,True
BP,GO:0070672,response to interleukin-15,1,57,2,18514,329.57142857142856,0.006148189511668169,JAK3,0.09599606660729448,False,True
BP,GO:0071104,response to interleukin-9,1,57,2,18514,329.57142857142856,0.006148189511668169,JAK3,0.09599606660729448,False,True
BP,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,2,57,39,18514,18.103194103194102,0.006414532006719203,BLOC1S2;TNFRSF10D,0.09599606660729448,False,False
BP,GO:0007264,small GTPase mediated signal transduction,7,57,723,18514,3.46891061452514,0.006520979032397877,HIST1H4B;HIST1H4D;JAK3;PRC1;PSME2;RAB6C;SGOL1,0.09599606660729448,False,False
BP,GO:0000183,chromatin silencing at rDNA,2,57,41,18514,17.17296037296037,0.007070531985715634,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0034080,CENP-A containing nucleosome assembly,2,57,41,18514,17.17296037296037,0.007070531985715634,HIST1H4B;HIST1H4D,0.09599606660729448,False,False
MF,GO:0044822,poly(A) RNA binding,9,57,1128,18514,2.905160857908847,0.007164945017413258,DNTTIP2;EIF1AX;EIF5;HELB;HIST1H4B;HIST1H4D;R3HDM1;SNORA31;TFB2M,0.09599606660729448,False,False
MF,GO:0004888,transmembrane signaling receptor activity,4,57,251,18514,5.564128026888702,0.007425263282159601,KLRF1;OR1E2;OR1S2;TNFRSF10D,0.09599606660729448,False,False
BP,GO:0006334,nucleosome assembly,3,57,131,18514,7.955295138888889,0.00766868001155367,HIST1H2BL;HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0006325,chromatin organization,4,57,259,18514,5.387199408065113,0.008273517564773306,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D,0.09599606660729448,False,False
BP,GO:0001306,age-dependent response to oxidative stress,1,57,3,18514,164.77678571428572,0.009208342558223642,COQ7,0.09599606660729448,False,True
MF,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,1,57,3,18514,164.77678571428572,0.009208342558223642,GLYR1,0.09599606660729448,False,True
BP,GO:0006391,transcription initiation from mitochondrial promoter,1,57,3,18514,164.77678571428572,0.009208342558223642,TFB2M,0.09599606660729448,False,True
CC,GO:0008537,proteasome activator complex,1,57,3,18514,164.77678571428572,0.009208342558223642,PSME2,0.09599606660729448,False,True
MF,GO:0032217,riboflavin transporter activity,1,57,3,18514,164.77678571428572,0.009208342558223642,SLC52A3,0.09599606660729448,False,True
BP,GO:0032218,riboflavin transport,1,57,3,18514,164.77678571428572,0.009208342558223642,SLC52A3,0.09599606660729448,False,True
