Cell_type,n_markers_defined,n_markers_found,markers_found
T cells CD4,10,10,CD27;CD28;CD3D;CD3E;CD4;IL7R;ITK;LCK;LEF1;TCF7
T cells CD8,10,10,CCL5;CD3D;CD3E;CD8A;CD8B;EOMES;GZMA;GZMK;NKG7;PRF1
Treg,8,8,CD3D;CD3E;CD4;CTLA4;FOXP3;IKZF2;IL2RA;TNFRSF18
B cells,10,10,BANK1;BLK;CD19;CD79A;CD79B;IGHD;IGHM;MS4A1;PAX5;TCL1A
NK cells,10,10,FCGR3A;GNLY;GZMB;KLRB1;KLRD1;KLRF1;NCAM1;NCR1;NKG7;PRF1
Monocytes,10,10,CD14;CD68;CSF1R;CST3;FCN1;ITGAM;LYZ;S100A8;S100A9;VCAN
Neutrophils,10,10,AQP9;CAMP;CEACAM8;CSF3R;CXCR1;CXCR2;FCGR3B;LCN2;MMP9;S100A12
Erythroid,10,10,ALAS2;ANK1;EPB42;GATA1;GYPA;HBA1;HBA2;HBB;KLF1;SLC4A1
HSC/Progenitor,10,9,CD34;FLT3;GATA2;KIT;MEIS1;MPL;PROM1;RUNX1;THY1
pDC,10,10,CLEC4C;GZMB;IL3RA;IRF7;ITM2C;JCHAIN;LILRA4;PLD4;SERPINF1;TCF4
mDC,10,10,BATF3;CD1C;CD1E;CLEC10A;FCER1A;HLA-DPA1;HLA-DQA1;IRF4;ITGAX;THBD
