Method,Cell Type,Mean T1 (%),Mean T2 (%),Mean diff T1-T2,diff_MZ1,diff_MZ2,diff_MZ3,Wilcoxon exact P,3-pair consistent,Mean T1 (z),Mean T2 (z),Mean T1 (rank),Mean T2 (rank)
NNLS,T cells CD4,11.343333333333334,11.46,-0.1166666666666665,-1.1899999999999995,0.3599999999999994,0.4800000000000004,1.0,False,,,,
NNLS,T cells CD8,0.68,1.8733333333333333,-1.1933333333333334,-0.88,-1.11,-1.59,0.25,True,,,,
NNLS,Treg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,
NNLS,B cells,11.206666666666663,11.723333333333334,-0.5166666666666669,-0.2300000000000004,-1.4800000000000004,0.1600000000000001,0.5,False,,,,
NNLS,NK cells,1.5200000000000002,0.44,1.08,0.0,2.56,0.6799999999999999,0.5,False,,,,
NNLS,Monocytes,23.423333333333336,23.673333333333332,-0.25,-0.139999999999997,-0.1000000000000014,-0.5100000000000016,0.25,True,,,,
NNLS,Neutrophils,11.37,10.62,0.75,2.91,-0.3800000000000008,-0.2799999999999993,1.0,False,,,,
NNLS,Erythroid,39.830000000000005,39.63999999999999,0.1900000000000024,-1.0700000000000005,1.490000000000002,0.1500000000000056,0.75,False,,,,
NNLS,HSC/Progenitor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,
NNLS,pDC,0.0,0.0033333333333333,-0.0033333333333333,0.0,0.0,-0.01,1.0,False,,,,
NNLS,mDC,0.6266666666666666,0.5733333333333334,0.0533333333333333,0.59,-1.35,0.92,1.0,False,,,,
Marker z-score,T cells CD4,,,-0.0217999999999999,-0.1706,0.0858000000000001,0.0194,1.0,False,1.2273666666666667,1.2491666666666668,,
Marker z-score,T cells CD8,,,-0.0789,-0.1569,0.0403999999999999,-0.1202,0.5,False,0.4554666666666667,0.5343666666666667,,
Marker z-score,Treg,,,0.0213333333333333,-0.0838999999999999,0.0991,0.0488,0.75,False,0.3858666666666666,0.3645333333333333,,
Marker z-score,B cells,,,-0.0386666666666666,-0.0668999999999999,-0.0706999999999999,0.0216,0.5,False,1.1989666666666663,1.2376333333333334,,
Marker z-score,NK cells,,,0.1212666666666666,-0.0184999999999999,0.3346,0.0476999999999999,0.5,False,0.3053333333333333,0.1840666666666666,,
Marker z-score,Monocytes,,,-0.0235,-0.0434999999999998,0.0249999999999999,-0.052,0.5,False,2.3399666666666668,2.3634666666666666,,
Marker z-score,Neutrophils,,,0.0803333333333333,0.2280999999999999,0.0332000000000001,-0.0202999999999999,0.5,False,1.2136000000000002,1.1332666666666666,,
Marker z-score,Erythroid,,,0.0056999999999998,-0.1122,0.1330999999999997,-0.0038,1.0,False,3.8766,3.8709,,
Marker z-score,HSC/Progenitor,,,-0.0197333333333333,-0.217,0.1133,0.0445,1.0,False,-0.0360333333333333,-0.0163,,
Marker z-score,pDC,,,0.0160666666666666,-0.0482999999999999,0.1142,-0.0176999999999999,1.0,False,0.102,0.0859333333333333,,
Marker z-score,mDC,,,0.0317666666666666,-0.0008999999999999,-0.0308,0.127,1.0,False,0.2093,0.1775333333333333,,
ssGSEA,T cells CD4,,,-0.0078333333333333,-0.0368,0.012,0.0012999999999999,1.0,False,,,0.8507333333333333,0.8585666666666666
ssGSEA,T cells CD8,,,-0.0216333333333333,-0.0505999999999999,0.0151,-0.0294,0.5,False,,,0.6924666666666667,0.7141000000000001
ssGSEA,Treg,,,0.0105666666666666,-0.0251,0.031,0.0258,0.5,False,,,0.7037333333333334,0.6931666666666668
ssGSEA,B cells,,,-0.0050666666666666,-0.0117,-0.0081999999999999,0.0047,0.5,False,,,0.8358666666666666,0.8409333333333334
ssGSEA,NK cells,,,0.0443666666666666,-0.0049,0.1262000000000001,0.0117999999999999,0.5,False,,,0.6418333333333334,0.5974666666666667
ssGSEA,Monocytes,,,-0.0046333333333333,-0.0055999999999999,-0.0063,-0.002,0.25,True,,,0.9428,0.9474333333333332
ssGSEA,Neutrophils,,,0.0048333333333333,0.0182999999999999,0.0173999999999999,-0.0211999999999999,1.0,False,,,0.8198,0.8149666666666665
ssGSEA,Erythroid,,,0.0022333333333333,-0.0048,0.0092999999999999,0.0022,0.75,False,,,0.9671,0.9648666666666668
ssGSEA,HSC/Progenitor,,,-0.0082666666666666,-0.0907999999999999,0.0481,0.0179,1.0,False,,,0.5791333333333334,0.5874
ssGSEA,pDC,,,0.0022,-0.0242,0.041,-0.0101999999999999,1.0,False,,,0.6027333333333333,0.6005333333333333
ssGSEA,mDC,,,0.01,-0.0151,0.0026,0.0424999999999999,0.75,False,,,0.6041333333333333,0.5941333333333333
