Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0006335,DNA replication-dependent nucleosome assembly,3,57,31,18514,36.56547619047619,0.0001169843703086,CHAF1B;HIST1H4B;HIST1H4D,0.0501830302095781,False,False
CC,GO:0000786,nucleosome,4,57,96,18514,15.065627563576705,0.0002172425550198,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D,0.0501830302095781,False,False
BP,GO:0035574,histone H4-K20 demethylation,2,57,15,18514,51.59160839160839,0.0009530053697677,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
MF,GO:0035575,histone demethylase activity (H4-K20 specific),2,57,15,18514,51.59160839160839,0.0009530053697677,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
BP,GO:0045653,negative regulation of megakaryocyte differentiation,2,57,17,18514,44.70787878787879,0.0012294976167833,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
BP,GO:0006336,DNA replication-independent nucleosome assembly,2,57,26,18514,27.92878787878788,0.0028863793223306,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
BP,GO:0002731,negative regulation of dendritic cell cytokine production,1,57,1,18514,inf,0.0030787512152965,JAK3,0.0959960666072944,False,True
BP,GO:0045221,negative regulation of FasL biosynthetic process,1,57,1,18514,inf,0.0030787512152965,JAK3,0.0959960666072944,False,True
BP,GO:0060562,epithelial tube morphogenesis,1,57,1,18514,inf,0.0030787512152965,PRKX,0.0959960666072944,False,True
BP,GO:2000696,regulation of epithelial cell differentiation involved in kidney development,1,57,1,18514,inf,0.0030787512152965,PRKX,0.0959960666072944,False,True
MF,GO:0008135,"translation factor activity, RNA binding",2,57,28,18514,25.77762237762238,0.0033438636813238,EIF1AX;EIF5,0.0959960666072944,False,False
BP,GO:0032776,DNA methylation on cytosine,2,57,33,18514,21.61407624633431,0.0046249887032448,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
BP,GO:0051290,protein heterotetramerization,2,57,34,18514,20.9375,0.0049043805364953,HIST1H4B;HIST1H4D,0.0959960666072944,False,False
MF,GO:0042393,histone binding,3,57,116,18514,9.018682399213372,0.0054835096248281,CHAF1B;HIST1H4B;HIST1H4D,0.0959960666072944,False,False
CC,GO:0005694,chromosome,5,57,373,18514,4.726431856187291,0.0057372813228412,HIST1H2AJ;HIST1H2BL;HIST1H4B;HIST1H4D;SGOL1,0.0959960666072944,False,False
BP,GO:0000022,mitotic spindle elongation,1,57,2,18514,329.57142857142856,0.0061481895116681,PRC1,0.0959960666072944,False,True
MF,GO:0008119,thiopurine S-methyltransferase activity,1,57,2,18514,329.57142857142856,0.0061481895116681,OCLN,0.0959960666072944,False,True
MF,GO:0017116,single-stranded DNA-dependent ATP-dependent DNA helicase activity,1,57,2,18514,329.57142857142856,0.0061481895116681,HELB,0.0959960666072944,False,True
BP,GO:0022402,cell cycle process,1,57,2,18514,329.57142857142856,0.0061481895116681,RAB6C,0.0959960666072944,False,True
CC,GO:0030892,mitotic cohesin complex,1,57,2,18514,329.57142857142856,0.0061481895116681,SGOL1,0.0959960666072944,False,True
