miRNA,Gene,miRDB,TargetScan,miRTarBase,n_databases,FDR_significant_miRNA,miRNA_logFC,miRNA_FDR,mRNA_logFC,mRNA_FDR,expression_relationship
hsa-miR-128-3p,EIF5,False,True,True,2,False,-1.17436333333333,0.0697909651580682,-0.60897,0.965864665352879,same-direction
hsa-miR-128-3p,MOB1B,False,True,True,2,False,-1.17436333333333,0.0697909651580682,-0.81865,0.965864665352879,same-direction
hsa-miR-328-3p,HIST1H4D,False,True,True,2,False,-1.09424333333333,0.129737556390869,-1.00372,0.965864665352879,same-direction
hsa-miR-125a-5p,GK5,False,True,False,1,False,-0.729913333333333,0.510138278299635,-0.602703333333333,0.965864665352879,same-direction
hsa-miR-125a-5p,PRC1,False,False,True,1,False,-0.729913333333333,0.510138278299635,-0.58782,0.965864665352879,same-direction
hsa-miR-125a-5p,SBNO1,False,True,False,1,False,-0.729913333333333,0.510138278299635,-0.58866,0.965864665352879,same-direction
hsa-miR-128-3p,BLOC1S2,False,False,True,1,False,-1.17436333333333,0.0697909651580682,-0.603343333333333,0.965864665352879,same-direction
hsa-miR-128-3p,CISD1,False,False,True,1,False,-1.17436333333333,0.0697909651580682,0.616583333333333,0.965864665352879,anti-correlated
hsa-miR-128-3p,PRKX,False,True,False,1,False,-1.17436333333333,0.0697909651580682,-0.587286666666667,0.965864665352879,same-direction
hsa-miR-128-3p,SBNO1,False,True,False,1,False,-1.17436333333333,0.0697909651580682,-0.58866,0.965864665352879,same-direction
hsa-miR-128-3p,TOMM40L,False,False,True,1,False,-1.17436333333333,0.0697909651580682,-0.703596666666667,0.965864665352879,same-direction
hsa-miR-148b-3p,TEX13A,False,False,True,1,False,-0.908403333333333,0.10990114142631,0.656873333333333,0.965864665352879,anti-correlated
hsa-miR-28-5p,SBNO1,False,True,False,1,False,-1.05842,0.971715209856342,-0.58866,0.965864665352879,same-direction
hsa-miR-30e-5p,FAM91A1,False,False,True,1,False,-1.10616666666667,0.724792089759262,-0.81523,0.965864665352879,same-direction
hsa-miR-4685-3p,GK5,False,False,True,1,False,-0.867526666666667,0.79819895643914,-0.602703333333333,0.965864665352879,same-direction
hsa-miR-487a-3p,CHAF1B,False,False,True,1,False,-0.664153333333333,0.971715209856342,-0.77399,0.965864665352879,same-direction
hsa-miR-6132,SBNO1,False,False,True,1,False,-0.69915,0.919336896289933,-0.58866,0.965864665352879,same-direction
hsa-miR-6779-5p,CBY3,False,False,True,1,False,-0.681383333333334,0.178394973930227,0.60147,0.965864665352879,anti-correlated
hsa-miR-6779-5p,DNTTIP2,False,False,True,1,False,-0.681383333333334,0.178394973930227,-0.634046666666667,0.965864665352879,same-direction
hsa-miR-6779-5p,FBXO48,False,False,True,1,False,-0.681383333333334,0.178394973930227,-0.60277,0.965864665352879,same-direction
hsa-miR-6779-5p,HOOK3,False,False,True,1,False,-0.681383333333334,0.178394973930227,-0.612766666666667,0.965864665352879,same-direction
hsa-miR-6779-5p,MOB1B,False,False,True,1,False,-0.681383333333334,0.178394973930227,-0.81865,0.965864665352879,same-direction
hsa-miR-6779-5p,PHC1,False,False,True,1,False,-0.681383333333334,0.178394973930227,-0.682983333333333,0.965864665352879,same-direction
hsa-miR-6891-5p,SBNO1,False,False,True,1,False,-0.798096666666667,0.10990114142631,-0.58866,0.965864665352879,same-direction
hsa-miR-7977,HOOK3,False,False,True,1,False,-1.14008,0.510138278299635,-0.612766666666667,0.965864665352879,same-direction
hsa-miR-7977,MOB1B,False,False,True,1,False,-1.14008,0.510138278299635,-0.81865,0.965864665352879,same-direction
