Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,B,consistent_direction,FDR_significant,exploratory_candidate,Revised status
TOMM40L,-0.703596666666667,1.62855976707477,-0.65912,-0.58929,-0.86238,-5.01247293988361,0.0006965668000718,0.965864665352879,-3.51570993652097,True,False,True,Exploratory only
PHC1,-0.682983333333333,1.60545623036712,-0.49818,-0.65781,-0.89296,-4.70027552110756,0.0010783214249853,0.965864665352879,-3.56582726422612,True,False,True,Exploratory only
CISD1,0.616583333333333,1.53323977870926,0.65396,0.71455,0.48124,4.43783199037033,0.0015741305419868,0.965864665352879,-3.61248579765219,True,False,True,Exploratory only
SGOL1,-0.624573333333333,1.54175479510197,-0.69923,-0.37481,-0.79968,-4.22672985540784,0.0021494313939151,0.965864665352879,-3.65329123160667,True,False,True,Exploratory only
PRKX,-0.587286666666667,1.50241843111843,-0.69543,-0.44191,-0.62452,-4.20749669943593,0.0022120051169527,0.965864665352879,-3.65716161662111,True,False,True,Exploratory only
CPTP,-0.398413333333333,1.31805752222464,-0.31177,-0.31463,-0.56884,-2.82964215052938,0.0194720780686188,0.965864665352879,-4.00897292229123,True,False,False,Not retained
ZNF212,-0.290003333333333,1.2226431025942,-0.0688600000000004,-0.37162,-0.42953,-2.00246342441753,0.0758130644636268,0.965864665352879,-4.28732893548512,True,False,False,Not retained
ANKRD36,-0.3657,1.28850666519644,-0.79698,-0.44907,0.14895,-1.95599173464243,0.081728978068726,0.965864665352879,-4.30379110294148,False,False,False,Not retained
DLC1,-0.217316666666667,1.16256925952267,-0.32954,-0.07745,-0.24496,-1.55881445989736,0.153006036961708,0.965864665352879,-4.44362007739848,True,False,False,Not retained
USP9Y,0.22992,1.17276991525595,0.0046399999999999,0.06854,0.61658,1.41241302721099,0.191009659948887,0.965864665352879,-4.49342424075278,True,False,False,Not retained
PPM1G,-0.195636666666667,1.14522944309523,0.0230099999999998,-0.32615,-0.28377,-1.35372717530494,0.208396972635333,0.965864665352879,-4.5128900565366,False,False,False,Not retained
ZNF585B,0.176466666666667,1.13011271152539,0.19201,0.20234,0.13505,1.303446219746,0.224345026909409,0.965864665352879,-4.5292908159404,True,False,False,Not retained
NCOA1,-0.215593333333334,1.16118137215484,0.0393599999999994,-0.63504,-0.0510999999999999,-1.28791125397603,0.229474606188569,0.965864665352879,-4.5343015990916,False,False,False,Not retained
NUPL2,-0.20337,1.15138474272802,0.17057,-0.27583,-0.50485,-1.24106981699692,0.245534325603051,0.965864665352879,-4.54923652677697,False,False,False,Not retained
MED13L,-0.204723333333334,1.1524653165025,0.11371,-0.76777,0.0398899999999998,-1.08347878458647,0.306390782985409,0.965864665352879,-4.59729490963913,False,False,False,Not retained
TNKS2,-0.182003333333333,1.13445810608772,-0.04671,-0.65459,0.15529,-1.03014474795069,0.32947025713553,0.965864665352879,-4.6126824402701,False,False,False,Not retained
TIMM17B,-0.118943333333333,1.08593920159516,-0.0997300000000001,-0.0071400000000001,-0.24996,-0.855505174556386,0.414168118095501,0.968066848336217,-4.65936210117167,True,False,False,Not retained
ERCC8,-0.06992,1.04965847658415,0.0615800000000002,-0.14591,-0.12543,-0.504759530506753,0.625690808996177,0.980850976330732,-4.7319457359155,False,False,False,Not retained
ZNF544,0.0688833333333333,1.04890450220539,-0.0057500000000001,0.0040499999999998,0.20835,0.495826039472236,0.631738538666247,0.980850976330732,-4.7333657331124,False,False,False,Not retained
ZNF33A,0.02558,1.01788882698279,0.0819700000000001,0.40697,-0.4122,0.146081669667879,0.887032933585308,0.993729827739167,-4.76980378656568,False,False,False,Not retained
MGAT5B,-0.0176866666666668,1.01233491838334,-0.0685500000000001,0.14579,-0.1303,-0.125798685869186,0.902619192154488,0.994136646860947,-4.7707179687473,False,False,False,Not retained
PDZD8,-0.0038633333333334,1.00268144727352,0.25754,-0.31563,0.0465,-0.0247466814268945,0.98078971075079,0.99841203406074,-4.77324478143141,False,False,False,Not retained
ARMC8,-0.0020399999999997,1.00141502044635,0.41154,-0.57883,0.16117,-0.0105196985594356,0.991833038184073,0.999197874718267,-4.77332823975649,False,False,False,Not retained
