Original_Ontology,Original_GO_term,Ontology,GO_ID,GO_term,candidate_hits,term_size,odds_ratio,P.Value,adj.P.Val,Genes,Found_in_revised_GO,Revised_FDR_significant,Revised_status
CC,mitochondrial outer membrane,CC,GO:0005741,mitochondrial outer membrane,2,151,4.468090298962782,0.078861481189278,0.1828261674770829,CISD1;TOMM40L,True,False,Found but not nominally significant
MF,porin activity,MF,GO:0015288,porin activity,1,6,65.9,0.018333365680728,0.0984885458662368,TOMM40L,True,False,Nominal P<0.05 only
CC,pore complex,CC,GO:0046930,pore complex,1,9,41.18080357142857,0.0273758099203697,0.114978401665553,TOMM40L,True,False,Nominal P<0.05 only
CC,mitochondrial outer membrane translocase complex,CC,GO:0005742,mitochondrial outer membrane translocase complex,1,10,36.6031746031746,0.0303717342021606,0.1199294119777623,TOMM40L,True,False,Nominal P<0.05 only
MF,protein channel activity,MF,GO:0015266,protein channel activity,1,12,29.944805194805195,0.0363364093665148,0.1248748097690646,TOMM40L,True,False,Nominal P<0.05 only
BP,regulation of cellular respiration,BP,GO:0043457,regulation of cellular respiration,1,8,47.06632653061224,0.024370791825376,0.1072314840316547,CISD1,True,False,Nominal P<0.05 only
CC,mitotic cohesin complex,CC,GO:0030892,mitotic cohesin complex,1,2,329.57142857142856,0.0061481895116681,0.0959960666072944,SGOL1,True,False,Nominal P<0.05 only
BP,meiotic chromosome segregation,BP,GO:0045132,meiotic chromosome segregation,1,4,109.8452380952381,0.0122592379433557,0.0959960666072944,SGOL1,True,False,Nominal P<0.05 only
BP,centriole-centriole cohesion,BP,GO:0010457,centriole-centriole cohesion,1,6,65.9,0.018333365680728,0.0984885458662368,SGOL1,True,False,Nominal P<0.05 only
CC,"condensed chromosome, centromeric region",CC,GO:0000779,"condensed chromosome, centromeric region",1,7,54.913690476190474,0.0213566528082512,0.1017193154372377,SGOL1,True,False,Nominal P<0.05 only
BP,attachment of spindle microtubules to kinetochore,BP,GO:0008608,attachment of spindle microtubules to kinetochore,1,8,47.06632653061224,0.024370791825376,0.1072314840316547,SGOL1,True,False,Nominal P<0.05 only
CC,"condensed nuclear chromosome, centromeric region",CC,GO:0000780,"condensed nuclear chromosome, centromeric region",1,13,27.447916666666668,0.0393052140722822,0.1252345441475475,SGOL1,True,False,Nominal P<0.05 only
BP,regulation of epithelial cell differentiation involved in kidney development,BP,GO:2000696,regulation of epithelial cell differentiation involved in kidney development,1,1,inf,0.0030787512152965,0.0959960666072944,PRKX,True,False,Nominal P<0.05 only
BP,epithelial tube morphogenesis,BP,GO:0060562,epithelial tube morphogenesis,1,1,inf,0.0030787512152965,0.0959960666072944,PRKX,True,False,Nominal P<0.05 only
MF,cAMP-dependent protein kinase activity,MF,GO:0004691,cAMP-dependent protein kinase activity,1,7,54.913690476190474,0.0213566528082512,0.1017193154372377,PRKX,True,False,Nominal P<0.05 only
BP,kidney morphogenesis,BP,GO:0060993,kidney morphogenesis,1,11,32.941071428571426,0.033358591700565,0.1223148362354052,PRKX,True,False,Nominal P<0.05 only
CC,sex chromatin,CC,GO:0001739,sex chromatin,1,7,54.913690476190474,0.0213566528082512,0.1017193154372377,PHC1,True,False,Nominal P<0.05 only
BP,histone ubiquitination,BP,GO:0016574,histone ubiquitination,1,11,32.941071428571426,0.033358591700565,0.1223148362354052,PHC1,True,False,Nominal P<0.05 only
CC,PRC1 complex,CC,GO:0035102,PRC1 complex,1,12,29.944805194805195,0.0363364093665148,0.1248748097690646,PHC1,True,False,Nominal P<0.05 only
CC,Rab-protein geranylgeranyltransferase complex,CC,GO:0005968,Rab-protein geranylgeranyltransferase complex,1,4,109.8452380952381,0.0122592379433557,0.0959960666072944,RABGGTB,True,False,Nominal P<0.05 only
MF,Rab geranylgeranyltransferase activity,MF,GO:0004663,Rab geranylgeranyltransferase activity,1,4,109.8452380952381,0.0122592379433557,0.0959960666072944,RABGGTB,True,False,Nominal P<0.05 only
BP,protein geranylgeranylation,BP,GO:0018344,protein geranylgeranylation,1,6,65.9,0.018333365680728,0.0984885458662368,RABGGTB,True,False,Nominal P<0.05 only
MF,prenyltransferase activity,MF,GO:0004659,prenyltransferase activity,1,10,36.6031746031746,0.0303717342021606,0.1199294119777623,RABGGTB,True,False,Nominal P<0.05 only
BP,riboflavin transport,BP,GO:0032218,riboflavin transport,1,3,164.77678571428572,0.0092083425582236,0.0959960666072944,SLC52A3,True,False,Nominal P<0.05 only
MF,riboflavin transporter activity,MF,GO:0032217,riboflavin transporter activity,1,3,164.77678571428572,0.0092083425582236,0.0959960666072944,SLC52A3,True,False,Nominal P<0.05 only
BP,riboflavin metabolic process,BP,GO:0006771,riboflavin metabolic process,1,5,82.37946428571429,0.0153009031749726,0.0984885458662368,SLC52A3,True,False,Nominal P<0.05 only
