ProbeID	miRNA_name
20500112	hsa-let-7a-5p
20500113	hsa-let-7a-3p
20500114	hsa-let-7a-2-3p
20500115	hsa-let-7b-5p
20500116	hsa-let-7b-3p
20500117	hsa-let-7c-5p
20500118	hsa-let-7c-3p
20500119	hsa-let-7d-5p
20500120	hsa-let-7d-3p
20500121	hsa-let-7e-5p
20500122	hsa-let-7e-3p
20500123	hsa-let-7f-5p
20500124	hsa-let-7f-1-3p
20500125	hsa-let-7f-2-3p
20500126	hsa-miR-15a-5p
20500127	hsa-miR-15a-3p
20500128	hsa-miR-16-5p
20500129	hsa-miR-16-1-3p
20500130	hsa-miR-17-5p
20500131	hsa-miR-17-3p
20500132	hsa-miR-18a-5p
20500133	hsa-miR-18a-3p
20500134	hsa-miR-19a-5p
20500135	hsa-miR-19a-3p
20500136	hsa-miR-19b-1-5p
20500137	hsa-miR-19b-3p
20500138	hsa-miR-19b-2-5p
20500139	hsa-miR-20a-5p
20500140	hsa-miR-20a-3p
20500141	hsa-miR-21-5p
20500142	hsa-miR-21-3p
20500143	hsa-miR-22-5p
20500144	hsa-miR-22-3p
20500145	hsa-miR-23a-5p
20500146	hsa-miR-23a-3p
20500147	hsa-miR-24-1-5p
20500148	hsa-miR-24-3p
20500149	hsa-miR-24-2-5p
20500150	hsa-miR-25-5p
20500151	hsa-miR-25-3p
20500152	hsa-miR-26a-5p
20500153	hsa-miR-26a-1-3p
20500154	hsa-miR-26b-5p
20500155	hsa-miR-26b-3p
20500156	hsa-miR-27a-5p
20500157	hsa-miR-27a-3p
20500158	hsa-miR-28-5p
20500159	hsa-miR-28-3p
20500160	hsa-miR-29a-5p
20500161	hsa-miR-29a-3p
20500162	hsa-miR-30a-5p
20500163	hsa-miR-30a-3p
20500164	hsa-miR-31-5p
20500165	hsa-miR-31-3p
20500166	hsa-miR-32-5p
20500167	hsa-miR-32-3p
20500168	hsa-miR-33a-5p
20500169	hsa-miR-33a-3p
20500170	hsa-miR-92a-1-5p
20500171	hsa-miR-92a-3p
20500172	hsa-miR-92a-2-5p
20500173	hsa-miR-93-5p
20500174	hsa-miR-93-3p
20500175	hsa-miR-95-5p
20500176	hsa-miR-95-3p
20500177	hsa-miR-96-5p
20500178	hsa-miR-96-3p
20500179	hsa-miR-98-5p
20500180	hsa-miR-98-3p
20500181	hsa-miR-99a-5p
20500182	hsa-miR-99a-3p
20500183	hsa-miR-100-5p
20500184	hsa-miR-100-3p
20500185	hsa-miR-101-5p
20500186	hsa-miR-101-3p
20500187	hsa-miR-29b-1-5p
20500188	hsa-miR-29b-3p
20500189	hsa-miR-29b-2-5p
20500190	hsa-miR-103a-2-5p
20500191	hsa-miR-103a-3p
20500192	hsa-miR-105-5p
20500193	hsa-miR-105-3p
20500194	hsa-miR-106a-5p
20500195	hsa-miR-106a-3p
20500196	hsa-miR-107
20500197	hsa-miR-16-2-3p
20500385	hsa-miR-192-5p
20500386	hsa-miR-192-3p
20500393	hsa-miR-196a-5p
20500394	hsa-miR-197-5p
20500395	hsa-miR-197-3p
20500396	hsa-miR-198
20500399	hsa-miR-199a-5p
20500400	hsa-miR-199a-3p
20500416	hsa-miR-208a-5p
20500417	hsa-miR-208a-3p
20500418	hsa-miR-129-5p
20500419	hsa-miR-129-1-3p
20500420	hsa-miR-148a-5p
20500421	hsa-miR-148a-3p
20500422	hsa-miR-30c-5p
20500423	hsa-miR-30c-2-3p
20500424	hsa-miR-30d-5p
20500425	hsa-miR-30d-3p
20500432	hsa-miR-139-5p
20500433	hsa-miR-139-3p
20500434	hsa-miR-147a
20500435	hsa-miR-7-5p
20500436	hsa-miR-7-1-3p
20500437	hsa-miR-7-2-3p
20500438	hsa-miR-10a-5p
20500439	hsa-miR-10a-3p
20500440	hsa-miR-10b-5p
20500441	hsa-miR-10b-3p
20500442	hsa-miR-34a-5p
20500443	hsa-miR-34a-3p
20500444	hsa-miR-181a-5p
20500445	hsa-miR-181a-2-3p
20500446	hsa-miR-181b-5p
20500447	hsa-miR-181b-3p
20500448	hsa-miR-181c-5p
20500449	hsa-miR-181c-3p
20500450	hsa-miR-182-5p
20500451	hsa-miR-182-3p
20500452	hsa-miR-183-5p
20500453	hsa-miR-183-3p
20500454	hsa-miR-187-5p
20500455	hsa-miR-187-3p
20500456	hsa-miR-196a-3p
20500457	hsa-miR-199b-5p
20500458	hsa-miR-199b-3p
20500459	hsa-miR-203a
20500460	hsa-miR-204-5p
20500461	hsa-miR-204-3p
20500462	hsa-miR-205-5p
20500463	hsa-miR-205-3p
20500464	hsa-miR-210-5p
20500465	hsa-miR-210-3p
20500466	hsa-miR-211-5p
20500467	hsa-miR-211-3p
20500468	hsa-miR-212-5p
20500469	hsa-miR-212-3p
20500470	hsa-miR-181a-3p
20500471	hsa-miR-214-5p
20500472	hsa-miR-214-3p
20500473	hsa-miR-215-5p
20500474	hsa-miR-215-3p
20500475	hsa-miR-216a-5p
20500476	hsa-miR-216a-3p
20500477	hsa-miR-217
