miRNA,logFC,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,consistent_direction
hsa-miR-1292-5p,-1.66582,-1.6240100000000002,-1.5845500000000001,-1.7889,-14.273327236392191,1.170542230883768e-06,0.005176137744968022,0.0014085466679056987,True
hsa-miR-128-3p,-1.1743633333333332,-1.4733200000000002,-0.8373999999999997,-1.21237,-7.961780513191964,6.907117418864658e-05,0.1527163661310976,0.023818385443198017,True
hsa-miR-4253,-0.8030966666666667,-0.7895099999999997,-0.9117000000000002,-0.70808,-6.909727386797384,0.00017651872095399027,0.18936270877359343,0.005384774019485986,True
hsa-miR-6891-5p,-0.7980966666666669,-0.8084400000000003,-0.8912599999999999,-0.6945900000000003,-6.8840066557592205,0.00018086027792618613,0.18936270877359343,0.00506365820750734,True
hsa-miR-148b-3p,-0.9084033333333332,-0.6152,-1.0138199999999995,-1.09619,-6.675687927994276,0.00022076429146821762,0.18936270877359343,0.025703813475648866,True
hsa-miR-1910-5p,-1.2350266666666667,-1.6832000000000003,-0.66296,-1.35892,-6.419765684871626,0.0002838618685067477,0.18936270877359343,0.054568865270206546,True
hsa-miR-328-3p,-1.0942433333333335,-0.6238599999999996,-1.4807600000000005,-1.1781100000000002,-6.365254935136916,0.00029976005459410993,0.18936270877359343,0.048759098771601686,True
hsa-miR-6511a-3p,-1.3510633333333333,-1.8117699999999997,-0.6391800000000001,-1.60224,-6.183224561907809,0.0003604821541495551,0.1992565107061666,0.06457189394173672,True
hsa-miR-6779-5p,-0.6813833333333337,-0.6938900000000006,-0.6368400000000003,-0.7134200000000002,-6.044819257747273,0.0004158434067517391,0.20431772718402114,0.00113489742640903,True
hsa-miR-628-3p,-1.3033066666666666,-0.53311,-1.4343399999999997,-1.94247,-5.39334818493785,0.0008411595308305508,0.35740019157437025,0.0871094726238155,True
hsa-miR-7977,-1.14008,-0.45643999999999996,-1.6071900000000001,-1.3566099999999999,-5.34420596169387,0.0008890552029213191,0.35740019157437025,0.08246714524097275,True
hsa-miR-663a,-0.7713966666666666,-0.40730999999999984,-1.05449,-0.8523900000000002,-5.151081045187294,0.0011087260600517155,0.37582700071896735,0.056277963010860785,True
hsa-miR-501-5p,-0.8183933333333333,-1.0135599999999996,-1.0605900000000004,-0.38103,-5.122975808481457,0.0011454217008101894,0.37582700071896735,0.06478776746229391,True
hsa-miR-30e-5p,-1.1061666666666665,-0.3648500000000001,-1.45294,-1.5007099999999998,-4.962128249220764,0.0013829867309846705,0.37582700071896735,0.09644521951814329,True
hsa-miR-3679-5p,-0.63393,-0.8721700000000001,-0.5423799999999999,-0.4872400000000001,-4.940872413058935,0.0014182513147461705,0.37582700071896735,0.03411130355652144,True
hsa-miR-664a-5p,-0.7217233333333337,-1.0406700000000004,-0.71095,-0.41355000000000075,-4.931678991003457,0.0014338094261175278,0.37582700071896735,0.05758814121691075,True
hsa-miR-6085,-1.0135699999999999,-0.9527399999999999,-0.4709899999999996,-1.6169799999999999,-4.925230303630802,0.0014448346929494449,0.37582700071896735,0.09272983469793099,True
hsa-miR-3162-5p,-1.0430166666666667,-1.7905599999999997,-0.6551200000000001,-0.68337,-4.651216348585754,0.00201174293879441,0.49421818196382666,0.10805284222547917,True
hsa-miR-125a-5p,-0.7299133333333332,-0.37807999999999997,-0.62913,-1.1825299999999999,-4.377444416769548,0.0028311029715999735,0.532795296004306,0.09165054103672161,True
hsa-miR-6796-5p,0.6599900000000002,1.0692000000000004,0.4177900000000001,0.4929800000000002,4.261173181487208,0.0032842359147717648,0.5809156486048297,0.08498328309845483,True
hsa-miR-376c-3p,-0.7226866666666667,-0.53392,-1.22706,-0.4070800000000001,-4.166197575523417,0.003713244860722419,0.5977891106333642,0.10509882345013398,True
hsa-miR-4685-3p,-0.8675266666666669,-0.23140000000000005,-1.3911600000000002,-0.9800200000000001,-4.151446597377061,0.0037851865892659874,0.5977891106333642,0.12505016647103773,True
hsa-miR-28-5p,-1.0584200000000001,-1.8737000000000001,-0.9627799999999995,-0.3387800000000003,-4.114655538606351,0.0039713145009827025,0.60555699046019,0.14079821431436793,True
hsa-miR-6816-5p,-0.9160699999999999,-1.32023,-1.2955099999999997,-0.1324700000000001,-3.9418810115361826,0.004988929473382773,0.7116466493967297,0.14438299692206708,True
hsa-miR-3621,-0.6718933333333333,-0.77468,-1.1139899999999998,-0.1270100000000003,-3.581951138740451,0.00813855089942931,0.836501549726122,0.14605951435602704,True
hsa-miR-6132,-0.6991499999999999,-0.4235500000000001,-0.3545099999999999,-1.3193899999999998,-3.557329480084609,0.008421390735221513,0.836501549726122,0.15337160431099475,True
hsa-miR-6813-5p,-0.86489,-0.6707399999999999,-1.6665500000000002,-0.25737999999999994,-3.537748934444851,0.00865385140146385,0.836501549726122,0.17454959108985868,True
hsa-miR-183-5p,-1.1070566666666666,-0.6414,-2.22666,-0.4531099999999997,-3.53748982605461,0.0086569733139114,0.836501549726122,0.18788215942153683,True
hsa-miR-6771-5p,-0.63568,-1.19633,-0.5011100000000002,-0.2096,-3.365166532045967,0.011026608486737774,0.950087855604164,0.16199333539842148,True
hsa-miR-3178,-0.9810866666666666,-0.6214900000000001,-2.02614,-0.29562999999999984,-3.2952791643017205,0.012177422971897688,0.950087855604164,0.2058767973828192,True
hsa-miR-99a-5p,-0.9501200000000001,-0.027700000000000058,-1.01258,-1.8100800000000001,-3.2728397135077176,0.012573539622397205,0.950087855604164,0.20662245952875183,True
hsa-miR-1281,1.1759699999999997,0.32360000000000033,0.7026499999999998,2.5016599999999993,3.208038419664454,0.013796314573290896,0.950087855604164,0.2221459228670978,True
hsa-miR-378f,-0.79785,-1.67658,-0.15700999999999965,-0.5599600000000002,-3.052556732233565,0.017274080921156374,0.9595007235097164,0.2212703132453338,True
hsa-miR-487a-3p,-0.6641533333333333,-0.28315,-1.4175,-0.2918099999999999,-2.9450319957745887,0.02021298156332649,0.9595007235097164,0.2199256962598277,True
hsa-miR-4467,-0.6198900000000002,-0.5222300000000004,-1.29209,-0.04535,-2.8245273646419147,0.024140027857160053,0.9595007235097164,0.2299903856039105,True
hsa-miR-200c-3p,-0.685936666666667,-1.6858300000000002,-0.3513100000000007,-0.020669999999999966,-2.388418720292818,0.046358530599854446,0.9595007235097164,0.31012774077980254,True
