Ontology,GO_ID,GO_Term,K_universe,k_DEG,P_value,odds_ratio,genes,FDR_BH
BP,GO:2000696,regulation of epithelial cell differentiation involved in kidney development,1,1,0.0007827655447027193,inf,PRKX,0.043720158632875226
BP,GO:0060562,epithelial tube morphogenesis,1,1,0.0007827655447027193,inf,PRKX,0.043720158632875226
CC,GO:0030892,mitotic cohesin complex,2,1,0.0015649449876430175,1334.5,SGOL1,0.043720158632875226
BP,GO:0032218,riboflavin transport,3,1,0.002346538747735738,667.2272727272727,SLC52A3,0.043720158632875226
MF,GO:0032217,riboflavin transporter activity,3,1,0.002346538747735738,667.2272727272727,SLC52A3,0.043720158632875226
CC,GO:0005968,Rab-protein geranylgeranyltransferase complex,4,1,0.0031275472436105532,444.8030303030303,RABGGTB,0.043720158632875226
MF,GO:0004663,Rab geranylgeranyltransferase activity,4,1,0.0031275472436105532,444.8030303030303,RABGGTB,0.043720158632875226
BP,GO:0045132,meiotic chromosome segregation,4,1,0.0031275472436105532,444.8030303030303,SGOL1,0.043720158632875226
BP,GO:0006771,riboflavin metabolic process,5,1,0.003907970893612152,333.59090909090907,SLC52A3,0.043720158632875226
BP,GO:0018344,protein geranylgeranylation,6,1,0.004687810115800419,266.8636363636364,RABGGTB,0.043720158632875226
MF,GO:0015288,porin activity,6,1,0.004687810115800419,266.8636363636364,TOMM40L,0.043720158632875226
BP,GO:0010457,centriole-centriole cohesion,6,1,0.004687810115800419,266.8636363636364,SGOL1,0.043720158632875226
MF,GO:0004691,cAMP-dependent protein kinase activity,7,1,0.005467065327950622,222.37878787878788,PRKX,0.043720158632875226
CC,GO:0001739,sex chromatin,7,1,0.005467065327950622,222.37878787878788,PHC1,0.043720158632875226
CC,GO:0000779,"condensed chromosome, centromeric region",7,1,0.005467065327950622,222.37878787878788,SGOL1,0.043720158632875226
CC,GO:0005741,mitochondrial outer membrane,151,2,0.006183705643952328,18.671140939597315,"CISD1,TOMM40L",0.043720158632875226
BP,GO:0043457,regulation of cellular respiration,8,1,0.006245736947553603,190.6038961038961,CISD1,0.043720158632875226
BP,GO:0008608,attachment of spindle microtubules to kinetochore,8,1,0.006245736947553603,190.6038961038961,SGOL1,0.043720158632875226
CC,GO:0046930,pore complex,9,1,0.007023825391815946,166.77272727272728,TOMM40L,0.04657905259835838
CC,GO:0005742,mitochondrial outer membrane translocase complex,10,1,0.007801331077660165,148.23737373737373,TOMM40L,0.04680798646596099
MF,GO:0004659,prenyltransferase activity,10,1,0.007801331077660165,148.23737373737373,RABGGTB,0.04680798646596099
BP,GO:0060993,kidney morphogenesis,11,1,0.008578254421724918,133.4090909090909,PRKX,0.04699391552771042
BP,GO:0016574,histone ubiquitination,11,1,0.008578254421724918,133.4090909090909,PHC1,0.04699391552771042
CC,GO:0035102,PRC1 complex,12,1,0.009354595840365128,121.27685950413223,PHC1,0.04714716303544025
MF,GO:0015266,protein channel activity,12,1,0.009354595840365128,121.27685950413223,TOMM40L,0.04714716303544025
CC,GO:0000780,"condensed nuclear chromosome, centromeric region",13,1,0.010130355749652238,111.16666666666667,SGOL1,0.049093262479083924
BP,GO:0030150,protein import into mitochondrial matrix,16,1,0.01245415057786034,88.92424242424242,TOMM40L,0.05555587214009882
BP,GO:0001935,endothelial cell proliferation,17,1,0.013227588604785434,83.36363636363636,PRKX,0.05555587214009882
BP,GO:0031589,cell-substrate adhesion,17,1,0.013227588604785434,83.36363636363636,PRKX,0.05555587214009882
BP,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,17,1,0.013227588604785434,83.36363636363636,SH2D1A,0.05555587214009882
MF,GO:0051537,"2 iron, 2 sulfur cluster binding",22,1,0.01708609552402834,63.504329004329,CISD1,0.06944671083959905
BP,GO:0043542,endothelial cell migration,25,1,0.01939426799535826,55.56060606060606,PRKX,0.07636493023172315
CC,GO:0031519,PcG protein complex,26,1,0.020162506016889254,53.336363636363636,PHC1,0.07698411388266806
BP,GO:0030099,myeloid cell differentiation,27,1,0.02093016832440061,51.28321678321678,PRKX,0.07756474143748461
CC,GO:0016604,nuclear body,40,1,0.030857575351299456,34.17365967365967,PHC1,0.11108727126467804
BP,GO:0030155,regulation of cell adhesion,50,1,0.03842844802139368,27.19016697588126,PRKX,0.13449956807487787
MF,GO:0005070,SH3/SH2 adaptor activity,53,1,0.04068865616147738,25.61888111888112,SH2D1A,0.138561369630977
BP,GO:0006959,humoral immune response,57,1,0.0436943632066385,23.785714285714285,SH2D1A,0.1448813095799066
BP,GO:0009967,positive regulation of signal transduction,63,1,0.04818603952442646,21.479472140762464,SH2D1A,0.15178602450194334
MF,GO:0051536,iron-sulfur cluster binding,63,1,0.04818603952442646,21.479472140762464,CISD1,0.15178602450194334
BP,GO:0006968,cellular defense response,67,1,0.051169271806670975,20.174931129476583,SH2D1A,0.15574104369963285
BP,GO:0071300,cellular response to retinoic acid,68,1,0.05191368123321095,19.87313432835821,PHC1,0.15574104369963285
BP,GO:0030334,regulation of cell migration,73,1,0.055627356522582376,18.48989898989899,PRKX,0.1630010912057065
BP,GO:0007059,chromosome segregation,81,1,0.06154031146506623,16.636363636363637,SGOL1,0.17231287210218543
MF,GO:0019900,kinase binding,81,1,0.06154031146506623,16.636363636363637,SGOL1,0.17231287210218543
BP,GO:0006767,water-soluble vitamin metabolic process,85,1,0.0644834928191963,15.841991341991342,SLC52A3,0.17662869772214637
CC,GO:0000777,condensed chromosome kinetochore,87,1,0.06595177057389237,15.472515856236786,SGOL1,0.1768068743044774
MF,GO:0017137,Rab GTPase binding,89,1,0.06741784393333404,15.119834710743802,RABGGTB,0.17697184032500188
BP,GO:0006766,vitamin metabolic process,93,1,0.07034339009951898,14.460474308300395,SLC52A3,0.17726534305078784
BP,GO:0016925,protein sumoylation,93,1,0.07034339009951898,14.460474308300395,PHC1,0.17726534305078784
BP,GO:0018105,peptidyl-serine phosphorylation,102,1,0.07689380641854429,13.167866786678667,PRKX,0.18955113079737018
BP,GO:0034605,cellular response to heat,104,1,0.07834344722036814,12.911297440423654,SLC52A3,0.18955113079737018
CC,GO:0000922,spindle pole,107,1,0.0805138262530896,12.54459691252144,SGOL1,0.18955113079737018
BP,GO:0006464,cellular protein modification process,108,1,0.08123619891315864,12.426932880203909,RABGGTB,0.18955113079737018
CC,GO:0000776,kinetochore,114,1,0.08555904845422369,11.764682220434432,SGOL1,0.19600800191331244
CC,GO:0000775,"chromosome, centromeric region",132,1,0.0984111773634477,10.141915336571826,SGOL1,0.22142514906775732
BP,GO:0008150,biological_process,693,2,0.10152344333110515,3.9513472538074565,"OR2L3,TOMM40L",0.22147853375116688
BP,GO:0007605,sensory perception of sound,137,1,0.10195043617117207,9.767379679144385,SLC52A3,0.22147853375116688
BP,GO:0050776,regulation of immune response,144,1,0.10688307889050533,9.287031150667515,SH2D1A,0.22825877864751984
MF,GO:0003674,molecular_function,778,2,0.12303490063219585,3.508100147275405,"OR2L3,TOMM40L",0.2583732913276113
BP,GO:0046777,protein autophosphorylation,173,1,0.1270436190508785,7.7135306553911205,PRKX,0.2624179672198474
BP,GO:0007601,visual perception,203,1,0.1474409320850759,6.561206120612061,RABGGTB,0.2996380232696704
BP,GO:0001525,angiogenesis,242,1,0.17327667125221133,5.492078460958129,PRKX,0.34655334250442266
BP,GO:0007267,cell-cell signaling,252,1,0.17977959167018878,5.27145961608113,SH2D1A,0.3539410711006842
CC,GO:0016324,apical plasma membrane,278,1,0.19645900352749893,4.772399081063341,SLC52A3,0.37990163216086265
BP,GO:0007067,mitotic nuclear division,282,1,0.19899609303664234,4.703817534778389,SGOL1,0.37990163216086265
BP,GO:0007275,multicellular organismal development,1098,2,0.2116676176609511,2.4560305874174486,"PHC1,PRKX",0.39806148992954987
MF,GO:0044822,poly(A) RNA binding,1128,2,0.22036806642548942,2.3880571766895033,"DNTTIP2,R3HDM1",0.4083290642589951
MF,GO:0008270,zinc ion binding,1162,2,0.23027362359117978,2.315270935960591,"PHC1,RABGGTB",0.4204996604708501
CC,GO:0005815,microtubule organizing center,348,1,0.23976799629361914,3.8004977731202514,SGOL1,0.43158239332851445
BP,GO:0043687,post-translational protein modification,369,1,0.2523191390985122,3.58102766798419,PHC1,0.4377679969410846
CC,GO:0005694,chromosome,373,1,0.25468725233946005,3.5420332355816226,SGOL1,0.4377679969410846
BP,GO:0051301,cell division,377,1,0.25704819022630127,3.503868471953578,SGOL1,0.4377679969410846
MF,GO:0004984,olfactory receptor activity,382,1,0.259989303857943,3.4572894297303747,OR2L3,0.4377679969410846
BP,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,383,1,0.2605761886554075,3.448119942884341,OR2L3,0.4377679969410846
MF,GO:0004674,protein serine/threonine kinase activity,404,1,0.2727984177954256,3.266072637040379,PRKX,0.43961899980971875
BP,GO:0007608,sensory perception of smell,407,1,0.2745285956564321,3.241603224361845,OR2L3,0.43961899980971875
MF,GO:0003682,chromatin binding,409,1,0.2756798593040347,3.2254901960784315,PHC1,0.43961899980971875
CC,GO:0005813,centrosome,413,1,0.2779771461861856,3.1937334510150044,SGOL1,0.43961899980971875
BP,GO:0006955,immune response,415,1,0.2791231744823611,3.1780851998243302,SLED1,0.43961899980971875
BP,GO:0000278,mitotic cell cycle,422,1,0.2831205870785936,3.1244871518030664,SGOL1,0.4404098021222568
CC,GO:0043234,protein complex,439,1,0.2927405080860512,3.001452885014529,TOMM40L,0.4498207807175908
MF,GO:0046872,metal ion binding,3580,4,0.3052546610368791,1.5179559637348405,"CISD1,PHC1,PLEKHM1P,RABGGTB",0.4599951597279622
BP,GO:0035556,intracellular signal transduction,464,1,0.30666343981864147,2.8369330453563717,PLEKHM1P,0.4599951597279622
MF,GO:0003824,catalytic activity,523,1,0.33848970664646644,2.5111459421804248,RABGGTB,0.49479885875232293
MF,GO:0016740,transferase activity,1537,2,0.3404421441531886,1.726384364820847,"PRKX,RABGGTB",0.49479885875232293
MF,GO:0004672,protein kinase activity,529,1,0.3416468310432706,2.482093663911846,PRKX,0.49479885875232293
BP,GO:0050896,response to stimulus,553,1,0.35413180006874284,2.3722002635046113,OR2L3,0.5070523500984273
CC,GO:0005739,mitochondrion,1598,2,0.358168970983022,1.6567609499940328,"CISD1,TOMM40L",0.5070706780209074
BP,GO:0007155,cell adhesion,592,1,0.3739382066742656,2.2126595908321796,PRKX,0.5235134893439718
BP,GO:0006468,protein phosphorylation,617,1,0.3863275959937776,2.1210153482880756,PRKX,0.5349151329144612
BP,GO:0007049,cell cycle,632,1,0.39364828996018725,2.069514479181674,SGOL1,0.5379196825139061
BP,GO:0015031,protein transport,639,1,0.3970359561412164,2.0463094898831575,TOMM40L,0.5379196825139061
BP,GO:0006811,ion transport,673,1,0.41323443813743777,1.9404761904761905,TOMM40L,0.5539099915459272
CC,GO:0043231,intracellular membrane-bounded organelle,691,1,0.42164073562320126,1.88866930171278,CISD1,0.5592287651423512
BP,GO:0007264,small GTPase mediated signal transduction,723,1,0.4363016179701868,1.8029463611181062,SGOL1,0.5685000570110607
BP,GO:0006810,transport,1879,2,0.4376548057942292,1.394474465332217,"SLC52A3,TOMM40L",0.5685000570110607
MF,GO:0016301,kinase activity,756,1,0.4510480131537842,1.722155328115593,PRKX,0.5752421601066869
BP,GO:0016310,phosphorylation,760,1,0.45281017442888816,1.712839861061205,PRKX,0.5752421601066869
BP,GO:0055085,transmembrane transport,779,1,0.4611068108791697,1.6698995092311288,TOMM40L,0.5752421601066869
BP,GO:0044267,cellular protein metabolic process,779,1,0.4611068108791697,1.6698995092311288,PHC1,0.5752421601066869
