Cell Type,Mean T1 (%),Mean T2 (%),Mean diff T1-T2,diff_MZ1,diff_MZ2,diff_MZ3,Wilcoxon exact P,3-pair consistent
T cells CD4,11.343333333333334,11.46,-0.11666666666666654,-1.1899999999999995,0.35999999999999943,0.4800000000000004,1.0,False
T cells CD8,0.68,1.8733333333333333,-1.1933333333333334,-0.88,-1.11,-1.5899999999999999,0.25,True
Treg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
B cells,11.206666666666665,11.723333333333334,-0.5166666666666669,-0.23000000000000043,-1.4800000000000004,0.16000000000000014,0.5,False
NK cells,1.5200000000000002,0.44,1.08,0.0,2.56,0.6799999999999999,0.5,False
Monocytes,23.423333333333336,23.673333333333332,-0.25,-0.13999999999999702,-0.10000000000000142,-0.5100000000000016,0.25,True
Neutrophils,11.37,10.62,0.75,2.91,-0.3800000000000008,-0.27999999999999936,1.0,False
Erythroid,39.830000000000005,39.63999999999999,0.19000000000000247,-1.0700000000000003,1.490000000000002,0.15000000000000568,0.75,False
HSC/Progenitor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
pDC,0.0,0.0033333333333333335,-0.0033333333333333335,0.0,0.0,-0.01,1.0,False
mDC,0.6266666666666666,0.5733333333333334,0.05333333333333331,0.59,-1.35,0.92,1.0,False
