Cell Type,Mean T1 (z),Mean T2 (z),Mean diff T1-T2,diff_MZ1,diff_MZ2,diff_MZ3,Wilcoxon exact P,3-pair consistent
T cells CD4,1.2273666666666667,1.2491666666666668,-0.02179999999999997,-0.17060000000000008,0.0858000000000001,0.019400000000000084,1.0,False
T cells CD8,0.4554666666666667,0.5343666666666667,-0.07890000000000004,-0.15690000000000004,0.04039999999999999,-0.12020000000000008,0.5,False
Treg,0.38586666666666664,0.3645333333333333,0.021333333333333353,-0.08389999999999997,0.09910000000000002,0.04880000000000001,0.75,False
B cells,1.1989666666666665,1.2376333333333334,-0.03866666666666663,-0.06689999999999996,-0.07069999999999999,0.021600000000000064,0.5,False
NK cells,0.3053333333333333,0.18406666666666668,0.12126666666666668,-0.01849999999999999,0.3346,0.047699999999999965,0.5,False
Monocytes,2.3399666666666668,2.3634666666666666,-0.023500000000000004,-0.04349999999999987,0.02499999999999991,-0.052000000000000046,0.5,False
Neutrophils,1.2136000000000002,1.1332666666666666,0.08033333333333337,0.22809999999999997,0.03320000000000012,-0.020299999999999985,0.5,False
Erythroid,3.8766,3.8709000000000002,0.00569999999999989,-0.11220000000000008,0.13309999999999977,-0.0038000000000000256,1.0,False
HSC/Progenitor,-0.036033333333333334,-0.0163,-0.019733333333333332,-0.217,0.1133,0.044500000000000005,1.0,False
pDC,0.102,0.08593333333333332,0.016066666666666674,-0.048299999999999996,0.11420000000000001,-0.017699999999999994,1.0,False
mDC,0.2093,0.17753333333333332,0.031766666666666665,-0.0008999999999999841,-0.030800000000000022,0.127,1.0,False
