Cell Type,Mean T1 (rank),Mean T2 (rank),Mean diff T1-T2,diff_MZ1,diff_MZ2,diff_MZ3,Wilcoxon exact P,3-pair consistent
T cells CD4,0.8507333333333333,0.8585666666666666,-0.007833333333333359,-0.036800000000000055,0.01200000000000001,0.0012999999999999678,1.0,False
T cells CD8,0.6924666666666667,0.7141000000000001,-0.021633333333333355,-0.05059999999999998,0.015100000000000002,-0.029400000000000093,0.5,False
Treg,0.7037333333333334,0.6931666666666668,0.010566666666666688,-0.02510000000000001,0.031000000000000028,0.025800000000000045,0.5,False
B cells,0.8358666666666666,0.8409333333333334,-0.005066666666666664,-0.011700000000000044,-0.008199999999999985,0.0047000000000000375,0.5,False
NK cells,0.6418333333333334,0.5974666666666667,0.044366666666666665,-0.0049000000000000155,0.1262000000000001,0.011799999999999922,0.5,False
Monocytes,0.9428,0.9474333333333332,-0.004633333333333341,-0.005599999999999938,-0.006300000000000083,-0.0020000000000000018,0.25,True
Neutrophils,0.8198,0.8149666666666665,0.004833333333333319,0.018299999999999983,0.01739999999999997,-0.021199999999999997,1.0,False
Erythroid,0.9671,0.9648666666666667,0.0022333333333333463,-0.0048000000000000265,0.009299999999999975,0.0022000000000000908,0.75,False
HSC/Progenitor,0.5791333333333334,0.5874,-0.008266666666666644,-0.09079999999999999,0.04810000000000003,0.017900000000000027,1.0,False
pDC,0.6027333333333333,0.6005333333333333,0.0022000000000000166,-0.0242,0.041000000000000036,-0.010199999999999987,1.0,False
mDC,0.6041333333333333,0.5941333333333333,0.010000000000000009,-0.015100000000000002,0.0026000000000000467,0.04249999999999998,0.75,False
