Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PLEKHS1	ENST00000354462.3	pleckstrin homology domain containing, family S member 1 	7	34	0	34	0	1	hsa-miR-6891-5p				-5.57	-5.57	N/A
PDX1	ENST00000381033.4	pancreatic and duodenal homeobox 1 	220	1	0	1	0	3	hsa-miR-6891-5p				-1.17	-1.17	N/A
CCDC85C	ENST00000380243.4	coiled-coil domain containing 85C 	86	1*	0	0	0	2	hsa-miR-6891-5p				-1.00	0	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	9	0	6	3	10	hsa-miR-6891-5p				-0.96	-0.96	N/A
TRIM67	ENST00000444294.3	tripartite motif containing 67 	41	6	0	6	0	5	hsa-miR-6891-5p				-0.91	-1.01	N/A
EN2	ENST00000297375.4	engrailed homeobox 2 	86	7	0	7	0	1	hsa-miR-6891-5p				-0.88	-1.83	N/A
AL133373.1	ENST00000596306.1	Uncharacterized protein  	5	2	0	2	0	1	hsa-miR-3173-3p				-0.87	-0.87	N/A
PLAC8L1	ENST00000311450.4	PLAC8-like 1 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.86	-0.86	N/A
GPR37L1	ENST00000367282.5	G protein-coupled receptor 37 like 1 	5	3	1	2	0	6	hsa-miR-3173-3p				-0.85	-0.85	N/A
LALBA	ENST00000549817.1	lactalbumin, alpha- 	5	3	0	2	1	1	hsa-miR-6891-5p				-0.81	-0.81	N/A
RNF125	ENST00000217740.3	ring finger protein 125, E3 ubiquitin protein ligase 	214	6	2	2	2	1	hsa-miR-3173-3p				-0.81	-0.81	N/A
GPX6	ENST00000361902.1	glutathione peroxidase 6 (olfactory) 	5	3	0	2	1	1	hsa-miR-6891-5p				-0.80	-0.80	N/A
DKFZP779L1853	ENST00000595310.1		5	3	0	2	1	4	hsa-miR-3173-3p				-0.80	-0.80	N/A
PIANP	ENST00000534837.1	PILR alpha associated neural protein 	8	4	0	4	0	3	hsa-miR-6891-5p				-0.78	-0.78	N/A
IL18BP	ENST00000497194.2	interleukin 18 binding protein 	41	3	1	2	0	1	hsa-miR-6891-5p				-0.78	-0.81	N/A
CDC42SE1	ENST00000439374.2	CDC42 small effector 1 	231	4	0	2	2	1	hsa-miR-3173-3p				-0.77	-0.82	N/A
TEX35	ENST00000367642.3	testis expressed 35 	5	3	1	1	1	1	hsa-miR-3173-3p				-0.76	-0.76	N/A
ZNF391	ENST00000244576.4	zinc finger protein 391 	63	4	0	3	1	1	hsa-miR-6891-5p				-0.76	-0.76	N/A
CGA	ENST00000369582.2	glycoprotein hormones, alpha polypeptide 	38	1	1	0	0	1	hsa-miR-3173-3p				-0.75	-0.75	N/A
NOVA2	ENST00000263257.5	neuro-oncological ventral antigen 2 	7	8	0	8	0	2	hsa-miR-6891-5p				-0.75	-1.19	N/A
ZNF70	ENST00000341976.3	zinc finger protein 70 	99	3	0	0	3	1	hsa-miR-3173-3p				-0.75	-0.81	N/A
CSN2	ENST00000353151.3	casein beta 	5	1	1	0	0	0	hsa-miR-3173-3p				-0.74	-0.74	N/A
OXSR1	ENST00000311806.3	oxidative stress responsive 1 	1790	3	1	2	0	2	hsa-miR-3173-3p				-0.73	-0.74	N/A
PIM1	ENST00000373509.5	pim-1 oncogene 	2041	3	0	3	0	0	hsa-miR-6891-5p				-0.71	-0.71	N/A
LRRC70	ENST00000334994.5	leucine rich repeat containing 70 	7	1	1	0	0	0	hsa-miR-3173-3p				-0.70	-0.70	N/A
DBNDD2	ENST00000372722.3	dysbindin (dystrobrevin binding protein 1) domain containing 2 	730	2	1	0	1	0	hsa-miR-3173-3p				-0.69	-0.71	N/A
NXF1	ENST00000531709.2	nuclear RNA export factor 1 	1017	3	1	2	0	1	hsa-miR-3173-3p				-0.68	-0.68	N/A
MEF2D	ENST00000464356.2	myocyte enhancer factor 2D 	759	3	0	3	0	4	hsa-miR-6891-5p				-0.67	-0.81	N/A
BTF3L4	ENST00000489308.2	basic transcription factor 3-like 4 	1245	2	0	2	0	2	hsa-miR-3173-3p				-0.67	-0.75	N/A
SYPL2	ENST00000369872.3	synaptophysin-like 2 	69	3	0	3	0	2	hsa-miR-3173-3p				-0.67	-0.67	N/A
