Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
GIPC3	ENST00000322315.5	GIPC PDZ domain containing family, member 3 	48	6	6	0	0	0	hsa-miR-6862-5p				-1.43	-1.43	N/A
AP3S2	ENST00000336418.4	adaptor-related protein complex 3, sigma 2 subunit 	985	3	3	0	0	0	hsa-miR-6862-5p				-1.23	-1.23	N/A
C17orf103	ENST00000468196.1	chromosome 17 open reading frame 103 	54	3	3	0	0	1	hsa-miR-6862-5p				-1.21	-1.21	N/A
NMUR1	ENST00000305141.4	neuromedin U receptor 1 	5	3	2	1	0	0	hsa-miR-6862-5p				-1.06	-1.06	N/A
C15orf38-AP3S2	ENST00000398333.3	C15orf38-AP3S2 readthrough 	985	3	3	0	0	0	hsa-miR-6862-5p				-1.06	-1.06	N/A
CTRC	ENST00000375943.2	chymotrypsin C (caldecrin) 	5	3	1	0	2	0	hsa-miR-6862-5p				-1.01	-1.01	N/A
PPT1	ENST00000433473.3	palmitoyl-protein thioesterase 1 	1961	2	1	1	0	0	hsa-miR-6862-5p				-1.00	-1.00	N/A
LINC00999	ENST00000423687.1	long intergenic non-protein coding RNA 999 	5	2	1	0	1	0	hsa-miR-6862-5p				-1.00	-1.00	N/A
NUDT19	ENST00000397061.3	nudix (nucleoside diphosphate linked moiety X)-type motif 19 	341	3	2	1	0	0	hsa-miR-4253				-0.94	-0.94	N/A
CCDC163P	ENST00000490551.3	coiled-coil domain containing 163, pseudogene 	128	2	2	0	0	0	hsa-miR-6862-5p				-0.92	-0.92	N/A
TMEM14E	ENST00000408960.3	transmembrane protein 14E 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.90	-0.90	N/A
OR2L2	ENST00000366479.2	olfactory receptor, family 2, subfamily L, member 2 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.84	-0.84	N/A
TMED3	ENST00000299705.5	transmembrane emp24 protein transport domain containing 3 	12499	3	1	2	0	0	hsa-miR-4253				-0.82	-1.04	N/A
CARNS1	ENST00000307823.3	carnosine synthase 1 	14	2	1	1	0	0	hsa-miR-6862-5p				-0.82	-0.82	N/A
NAGA	ENST00000396398.3	N-acetylgalactosaminidase, alpha- 	841	3	2	0	1	1	hsa-miR-6862-5p				-0.78	-0.78	N/A
CD84	ENST00000534968.1	CD84 molecule 	5	6	1	1	4	3	hsa-miR-4253				-0.78	-0.91	N/A
PCMT1	ENST00000367384.2	protein-L-isoaspartate (D-aspartate) O-methyltransferase 	573	1	1	0	0	0	hsa-miR-6862-5p				-0.77	-0.77	N/A
RP11-706O15.1	ENST00000425492.2	HCG1981372, isoform CRA_c; Uncharacterized protein  	142	1	1	0	0	1	hsa-miR-6862-5p				-0.77	-0.83	N/A
SSX4	ENST00000376886.2	synovial sarcoma, X breakpoint 4 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.76	-0.76	N/A
TRIM66	ENST00000299550.6	tripartite motif containing 66 	33	3	0	2	1	0	hsa-miR-6862-5p				-0.76	-0.98	N/A
SSX4B	ENST00000376884.2	synovial sarcoma, X breakpoint 4B 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.76	-0.76	N/A
PRR19	ENST00000598490.1	proline rich 19 	17	2	1	1	0	0	hsa-miR-6862-5p				-0.75	-0.75	N/A
SSX3	ENST00000298396.2	synovial sarcoma, X breakpoint 3 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.75	-0.75	N/A
HSD11B2	ENST00000326152.5	hydroxysteroid (11-beta) dehydrogenase 2 	29	2	1	0	1	0	hsa-miR-4253				-0.74	-0.74	N/A
ELMO1	ENST00000341056.3	engulfment and cell motility 1 	118	3	1	2	0	0	hsa-miR-6862-5p				-0.73	-0.73	N/A
POLR2F	ENST00000442738.2	polymerase (RNA) II (DNA directed) polypeptide F 	134	1	1	0	0	0	hsa-miR-4253				-0.73	-0.73	N/A
TFPT	ENST00000391757.1	TCF3 (E2A) fusion partner (in childhood Leukemia) 	81	1	1	0	0	0	hsa-miR-6862-5p				-0.72	-0.72	N/A
SERPINB2	ENST00000299502.4	serpin peptidase inhibitor, clade B (ovalbumin), member 2 	41	2	1	1	0	0	hsa-miR-4253				-0.71	-0.87	N/A
ADIPOQ	ENST00000412955.2	adiponectin, C1Q and collagen domain containing 	5	2	1	0	1	1	hsa-miR-6862-5p				-0.71	-0.71	N/A
LRP5L	ENST00000402859.2	low density lipoprotein receptor-related protein 5-like 	20	1	1	0	0	0	hsa-miR-4253				-0.69	-0.69	N/A
SSX2B	ENST00000276049.6	synovial sarcoma, X breakpoint 2B 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.69	-0.69	N/A
SYNGR4	ENST00000601610.1	synaptogyrin 4 	7	1	1	0	0	0	hsa-miR-4253				-0.68	-0.68	N/A
SSX2	ENST00000336777.5	synovial sarcoma, X breakpoint 2 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.68	-0.69	N/A
DKFZP434O1614	ENST00000554299.1		5	1	1	0	0	0	hsa-miR-6862-5p				-0.68	-0.68	N/A
SORD	ENST00000267814.9	sorbitol dehydrogenase 	5	2	1	1	0	1	hsa-miR-4253				-0.68	-0.68	N/A
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	1	hsa-miR-6862-5p				-0.68	-0.71	N/A
SLC22A11	ENST00000301891.4	solute carrier family 22 (organic anion/urate transporter), member 11 	7	3	2	1	0	0	hsa-miR-4253				-0.68	-0.89	N/A
PRX	ENST00000291825.7	periaxin 	17	6	1	0	5	2	hsa-miR-4253				-0.67	-0.67	N/A
ARF3	ENST00000256682.4	ADP-ribosylation factor 3 	1093	2	1	1	0	0	hsa-miR-4253				-0.67	-0.71	N/A
INO80E	ENST00000563197.1	INO80 complex subunit E 	3687	2	1	0	1	0	hsa-miR-6862-5p				-0.67	-0.67	N/A
TANGO2	ENST00000434570.2	transport and golgi organization 2 homolog (Drosophila) 	119	2	2	0	0	0	hsa-miR-6862-5p				-0.67	-0.70	N/A
MXRA7	ENST00000355797.3	matrix-remodelling associated 7 	421	3	1	2	0	0	hsa-miR-4253				-0.66	-0.72	N/A
RAB37	ENST00000392610.1	RAB37, member RAS oncogene family 	875	3	1	2	0	0	hsa-miR-4253				-0.66	-0.66	N/A
SSX5	ENST00000376923.1	synovial sarcoma, X breakpoint 5 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.65	-0.65	N/A
PCDH1	ENST00000503492.1	protocadherin 1 	30	3	2	0	1	0	hsa-miR-4253				-0.65	-0.65	N/A
KCTD4	ENST00000379108.1	potassium channel tetramerization domain containing 4 	7	1	1	0	0	0	hsa-miR-4253				-0.65	-0.65	N/A
CCDC120	ENST00000376396.3	coiled-coil domain containing 120 	170	4	1	3	0	0	hsa-miR-6862-5p				-0.64	-0.64	N/A
PVRL1	ENST00000264025.3	poliovirus receptor-related 1 (herpesvirus entry mediator C) 	50	4	2	2	0	0	hsa-miR-4253				-0.64	-0.74	N/A
C3orf72	ENST00000383165.3	chromosome 3 open reading frame 72 	11	2	2	0	0	0	hsa-miR-4253				-0.64	-0.64	N/A
BCKDHB	ENST00000545529.1	branched chain keto acid dehydrogenase E1, beta polypeptide 	143	2	2	0	0	1	hsa-miR-4253				-0.64	-0.64	N/A
SULT1A3	ENST00000395138.2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 	7	1	1	0	0	0	hsa-miR-6862-5p				-0.64	-0.64	N/A
PLA2G2C	ENST00000429261.2	phospholipase A2, group IIC 	5	3	2	0	1	1	hsa-miR-4253				-0.64	-0.64	N/A
FCN1	ENST00000371806.3	ficolin (collagen/fibrinogen domain containing) 1 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.63	-0.63	N/A
OR11A1	ENST00000377148.1	olfactory receptor, family 11, subfamily A, member 1 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.63	-0.63	N/A
CLDN10	ENST00000376873.3	claudin 10 	7	2	2	0	0	0	hsa-miR-4253				-0.63	-0.89	N/A
SULT1A4	ENST00000344620.6	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.63	-0.63	N/A
C11orf88	ENST00000529167.1	chromosome 11 open reading frame 88 	5	2	1	1	0	0	hsa-miR-4253				-0.62	-0.62	N/A
CCDC38	ENST00000546386.1	coiled-coil domain containing 38 	10	2	1	1	0	0	hsa-miR-4253				-0.62	-0.81	N/A
PTPN23	ENST00000265562.4	protein tyrosine phosphatase, non-receptor type 23 	808	1	1	0	0	0	hsa-miR-6862-5p				-0.62	-0.62	N/A
SPATA8	ENST00000328504.3	spermatogenesis associated 8 	10	1	1	0	0	0	hsa-miR-6862-5p				-0.62	-0.62	N/A
SLC13A2	ENST00000314669.5	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 	5	2	1	1	0	0	hsa-miR-4253				-0.62	-0.62	N/A
ATOX1	ENST00000521264.1	antioxidant 1 copper chaperone 	43	2	1	1	0	0	hsa-miR-6862-5p				-0.61	-0.73	N/A
