Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ATP6AP2	ENST00000378438.4	ATPase, H+ transporting, lysosomal accessory protein 2 	6001	2	2	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.2838	1.0995	1.7999	-1.26	-1.26	0.96	2005, 2007, 2009, 2011
MEOX2	ENST00000262041.5	mesenchyme homeobox 2 	5	2	2	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1812	0.8499	1.7169	-0.97	-0.97	0.96	2003, 2005, 2007, 2009, 2011
GLRX5	ENST00000331334.4	glutaredoxin 5 	6308	1	0	1	0	1	1	0	0	0	hsa-miR-148a-3p	0.0575	0.3584	1.2329	-0.92	-0.92	0.58	2007, 2011
C5orf30	ENST00000319933.2	chromosome 5 open reading frame 30 	889	2	1	1	0	0	0	0	0	0	hsa-miR-152-3p	0.2311	0.8907	1.6139	-0.80	-0.91	0.69	2007, 2009, 2011
SNN	ENST00000329565.5	stannin 	663	2	1	1	0	0	0	0	0	3	hsa-miR-148a-3p	0.1837	0.8482	1.8756	-0.79	-0.81	0.97	2003, 2005, 2007, 2009, 2011
GADD45A	ENST00000370986.4	growth arrest and DNA-damage-inducible, alpha 	689	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1325	0.5430	1.0175	-0.79	-0.79	0.64	2005, 2007, 2009, 2011
ARL8B	ENST00000419534.2	ADP-ribosylation factor-like 8B 	664	1	0	1	0	2	0	2	0	0	hsa-miR-148a-3p	0.0760	0.4816	1.7612	-0.77	-0.79	0.58	2007, 2011
NPTN	ENST00000345330.4	neuroplastin 	2918	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1180	0.5838	1.4410	-0.76	-0.77	0.89	2007, 2009, 2011
NPEPL1	ENST00000356091.6	aminopeptidase-like 1 	134	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1604	0.5861	0.9200	-0.75	-0.75	0.90	2005, 2007, 2009, 2011
MITF	ENST00000328528.6	microphthalmia-associated transcription factor 	593	2	0	1	1	2	0	0	2	1	hsa-miR-148a-3p	0.1005	0.6089	2.1251	-0.74	-0.91	0.98	2011
