Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SZRD1	ENST00000401089.3	SUZ RNA binding domain containing 1 	137	4	4	0	0	0	0	0	0	0	hsa-miR-128-3p	0.1132	0.6757	2.2178	-1.43	-1.43	> 0.99	2007, 2009, 2011
PAIP2	ENST00000394795.2	poly(A) binding protein interacting protein 2 	2034	2	1	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0441	0.2786	1.0395	-0.98	-0.98	0.88	2011
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	2	0	0	2	0	0	0	0	4	hsa-miR-128-3p	0.0356	0.2509	1.4350	-0.88	-0.88	0.90	2005, 2007, 2009, 2011
PRKX	ENST00000262848.5	protein kinase, X-linked 	12	1	1	0	0	3	0	1	2	0	hsa-miR-128-3p	0.0740	0.4484	1.7603	-0.83	-0.83	0.91	2005, 2007, 2009, 2011
PRKD1	ENST00000331968.5	protein kinase D1 	75	2	0	2	0	0	0	0	0	1	hsa-miR-128-3p	0.0344	0.2384	1.2462	-0.80	-0.81	0.95	2005, 2007, 2009, 2011
CLPP	ENST00000596605.1	caseinolytic mitochondrial matrix peptidase proteolytic subunit 	4038	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0491	0.2763	0.7378	-0.75	-0.75	0.89	2009, 2011
DUSP18	ENST00000403268.1	dual specificity phosphatase 18 	491	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	0.0279	0.1971	1.1162	-0.74	-0.77	< 0.1	NULL
PDIA5	ENST00000316218.7	protein disulfide isomerase family A, member 5 	10871	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0423	0.2520	0.8104	-0.71	-0.71	0.74	2005, 2007, 2009, 2011
PLK2	ENST00000274289.3	polo-like kinase 2 	689	3	1	0	2	0	0	0	0	0	hsa-miR-128-3p	0.0537	0.3405	1.3374	-0.70	-0.70	0.97	2005, 2007, 2009, 2011
STAB2	ENST00000388887.2	stabilin 2 	5	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0275	0.1933	1.0978	-0.70	-0.70	0.72	2009, 2011
SEC22A	ENST00000481965.2	SEC22 vesicle trafficking protein homolog A (S. cerevisiae) 	294	2	2	0	0	2	0	0	2	1	hsa-miR-128-3p	0.0270	0.1807	0.8284	-0.69	-1.08	0.84	2009, 2011
CASC3	ENST00000264645.7	cancer susceptibility candidate 3 	493	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	0.0502	0.3171	1.2635	-0.67	-0.67	0.87	2005, 2007, 2009, 2011
GPATCH2L	ENST00000553588.1	G patch domain containing 2-like 	96	1	1	0	0	3	0	2	1	1	hsa-miR-128-3p	0.0607	0.3719	1.4323	-0.66	-0.77	0.78	NULL
UBE2E2	ENST00000396703.1	ubiquitin-conjugating enzyme E2E 2 	794	2	0	2	0	0	0	0	0	2	hsa-miR-128-3p	0.0311	0.2122	1.0362	-0.65	-0.72	0.95	2005, 2007, 2009, 2011
TMSB10	ENST00000233143.4	thymosin beta 10 	49918	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0194	0.1278	0.5198	-0.65	-0.65	0.61	2005, 2007, 2009, 2011
YWHAB	ENST00000353703.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	272	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0559	0.3121	0.8933	-0.65	-0.68	0.82	2005, 2007, 2009, 2011
TMEM167A	ENST00000502346.1	transmembrane protein 167A 	1029	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	0.0324	0.1984	0.6513	-0.65	-0.65	0.57	2009, 2011
VWC2L	ENST00000427124.1	von Willebrand factor C domain containing protein 2-like 	5	1	1	0	0	2	0	1	1	2	hsa-miR-128-3p	0.0725	0.4332	1.5793	-0.65	-0.65	0.69	NULL
DCUN1D4	ENST00000334635.5	DCN1, defective in cullin neddylation 1, domain containing 4 	1118	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0736	0.4415	1.5977	-0.63	-0.66	0.91	2007, 2009, 2011
AK2	ENST00000467905.1	adenylate kinase 2 	3125	1	1	0	0	3	0	3	0	0	hsa-miR-128-3p	0.0474	0.3177	1.5243	-0.61	-0.61	0.76	2011
APEX1	ENST00000557054.1	APEX nuclease (multifunctional DNA repair enzyme) 1 	15798	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0181	0.1228	0.5776	-0.61	-0.61	< 0.1	NULL
LBH	ENST00000406087.1	limb bud and heart development 	1956	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0431	0.2517	0.7566	-0.60	-0.62	0.91	2005, 2007, 2009, 2011
ST6GALNAC3	ENST00000328299.3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 	41	2	0	0	2	3	1	0	2	1	hsa-miR-128-3p	0.0704	0.4668	2.1723	-0.59	-0.60	0.93	2007, 2009, 2011
H3F3C	ENST00000340398.3	H3 histone, family 3C 	7	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0526	0.2916	0.7630	-0.59	-0.59	0.62	2007, 2009
