Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PLCXD1	ENST00000381657.2	phosphatidylinositol-specific phospholipase C, X domain containing 1 	5	10	4	6	0	0	hsa-miR-1273h-5p				-1.97	-1.97	N/A
CCL28	ENST00000361115.4	chemokine (C-C motif) ligand 28 	5	6	3	2	1	0	hsa-miR-1273h-5p				-1.79	-1.79	N/A
C10orf91	ENST00000392630.3	chromosome 10 open reading frame 91 	5	21	0	21	0	0	hsa-miR-6780a-5p				-1.60	-1.60	N/A
CCDC163P	ENST00000490551.3	coiled-coil domain containing 163, pseudogene 	128	5	3	2	0	0	hsa-miR-1273h-5p				-1.54	-1.57	N/A
ACKR2	ENST00000442925.1	atypical chemokine receptor 2 	5	5	3	2	0	0	hsa-miR-1273h-5p				-1.43	-1.43	N/A
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	9	6	3	0	5	hsa-miR-1273h-5p				-1.40	-1.53	N/A
CCL22	ENST00000219235.4	chemokine (C-C motif) ligand 22 	5	5	3	0	2	1	hsa-miR-6779-5p				-1.35	-1.35	N/A
AL133373.1	ENST00000596306.1	Uncharacterized protein  	5	3	2	1	0	1	hsa-miR-1273h-5p				-1.33	-1.33	N/A
AC140061.12	ENST00000598429.1	Uncharacterized protein  	11	4	1	3	0	2	hsa-miR-6780a-5p				-1.32	-1.32	N/A
ZNF880	ENST00000600321.1	zinc finger protein 880 	184	5	4	0	1	2	hsa-miR-6779-5p				-1.31	-1.75	N/A
SKA1	ENST00000285116.3	spindle and kinetochore associated complex subunit 1 	86	5	2	3	0	1	hsa-miR-1273h-5p				-1.30	-1.36	N/A
PARVG	ENST00000444313.3	parvin, gamma 	5	6	0	5	1	1	hsa-miR-1273h-5p				-1.27	-1.27	N/A
AC016559.1	ENST00000594347.1	Uncharacterized protein  	15	5	2	3	0	1	hsa-miR-1273h-5p				-1.25	-1.25	N/A
MS4A10	ENST00000308287.1	membrane-spanning 4-domains, subfamily A, member 10 	5	4	3	0	1	0	hsa-miR-1273h-5p				-1.25	-1.25	N/A
