Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	2	1	0	1	0	hsa-miR-1292-5p				-0.74	-0.74	N/A
S100A7A	ENST00000368729.4	S100 calcium binding protein A7A 	5	2	0	2	0	5	hsa-miR-1292-5p				-0.71	-0.71	N/A
SCP2	ENST00000488965.1	sterol carrier protein 2 	3640	2	1	0	1	1	hsa-miR-1292-5p				-0.71	-0.71	N/A
PRR20B	ENST00000377930.1	proline rich 20B 	5	3	0	1	2	0	hsa-miR-1292-5p				-0.71	-0.71	N/A
PRR20D	ENST00000452123.3	proline rich 20D 	5	3	0	1	2	0	hsa-miR-1292-5p				-0.71	-0.71	N/A
PRR20E	ENST00000434815.1	proline rich 20E 	5	3	0	1	2	0	hsa-miR-1292-5p				-0.71	-0.71	N/A
PRR20A	ENST00000377931.1	proline rich 20A 	5	3	0	1	2	0	hsa-miR-1292-5p				-0.71	-0.71	N/A
PRR20C	ENST00000544357.2	proline rich 20C 	5	3	0	1	2	0	hsa-miR-1292-5p				-0.71	-0.71	N/A
UCMA	ENST00000378681.3	upper zone of growth plate and cartilage matrix associated 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.68	-0.68	N/A
CCDC151	ENST00000356392.4	coiled-coil domain containing 151 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.67	-0.67	N/A
APBB1IP	ENST00000376236.4	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.64	-0.64	N/A
BMP4	ENST00000245451.4	bone morphogenetic protein 4 	24	1	1	0	0	0	hsa-miR-1292-5p				-0.63	-0.63	N/A
DEK	ENST00000397239.3	DEK oncogene 	561	1	1	0	0	0	hsa-miR-1292-5p				-0.62	-0.62	N/A
BAD	ENST00000394532.3	BCL2-associated agonist of cell death 	536	1	1	0	0	0	hsa-miR-1292-5p				-0.58	-0.58	N/A
CAMK2N1	ENST00000375078.3	calcium/calmodulin-dependent protein kinase II inhibitor 1 	6631	2	0	1	1	0	hsa-miR-1292-5p				-0.58	-0.58	N/A
CAPN5	ENST00000531028.1	calpain 5 	89	1	1	0	0	0	hsa-miR-1292-5p				-0.58	-0.58	N/A
MICAL1	ENST00000358807.3	microtubule associated monooxygenase, calponin and LIM domain containing 1 	249	1	1	0	0	0	hsa-miR-1292-5p				-0.55	-0.55	N/A
TUBGCP4	ENST00000564079.1	tubulin, gamma complex associated protein 4 	129	1	1	0	0	0	hsa-miR-1292-5p				-0.55	-0.55	N/A
ERGIC1	ENST00000393784.3	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 	4614	3	1	0	2	2	hsa-miR-1292-5p				-0.54	-0.71	N/A
ZDHHC21	ENST00000380916.4	zinc finger, DHHC-type containing 21 	196	1	1	0	0	1	hsa-miR-1292-5p				-0.53	-0.65	N/A
SPG7	ENST00000268704.2	spastic paraplegia 7 (pure and complicated autosomal recessive) 	1038	2	1	0	1	0	hsa-miR-1292-5p				-0.53	-0.54	N/A
SP5	ENST00000375281.3	Sp5 transcription factor 	36	2	1	0	1	0	hsa-miR-1292-5p				-0.52	-0.52	N/A
TBC1D13	ENST00000372648.5	TBC1 domain family, member 13 	2204	3	0	1	2	1	hsa-miR-1292-5p				-0.52	-0.52	N/A
AC004899.1	ENST00000596947.1	Uncharacterized protein  	5	2	1	0	1	1	hsa-miR-1292-5p				-0.52	-0.52	N/A
VASP	ENST00000245932.6	vasodilator-stimulated phosphoprotein 	1627	1	1	0	0	0	hsa-miR-1292-5p				-0.51	-0.51	N/A
IRF1	ENST00000245414.4	interferon regulatory factor 1 	266	1	1	0	0	0	hsa-miR-1292-5p				-0.50	-0.50	N/A
SFXN4	ENST00000355697.2	sideroflexin 4 	304	1	1	0	0	0	hsa-miR-1292-5p				-0.50	-0.50	N/A
TUSC1	ENST00000358022.3	tumor suppressor candidate 1 	987	1	1	0	0	2	hsa-miR-1292-5p				-0.50	-0.58	N/A
NTNG1	ENST00000370067.1	netrin G1 	5	3	1	0	2	0	hsa-miR-1292-5p				-0.49	-0.49	N/A
HOXB3	ENST00000470495.1	homeobox B3 	70	2	0	1	1	0	hsa-miR-1292-5p				-0.48	-0.48	N/A
STK32C	ENST00000368622.1	serine/threonine kinase 32C 	30	1	1	0	0	0	hsa-miR-1292-5p				-0.48	-0.48	N/A
LL22NC03-63E9.3	ENST00000407120.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-1292-5p				-0.48	-0.48	N/A
GDI1	ENST00000447750.2	GDP dissociation inhibitor 1 	21	1	1	0	0	0	hsa-miR-1292-5p				-0.48	-0.48	N/A
LTBP4	ENST00000243562.9	latent transforming growth factor beta binding protein 4 	32	1	1	0	0	1	hsa-miR-1292-5p				-0.47	-0.47	N/A
GNG7	ENST00000382159.3	guanine nucleotide binding protein (G protein), gamma 7 	92	2	1	0	1	1	hsa-miR-1292-5p				-0.47	-0.57	N/A
KLF1	ENST00000264834.4	Kruppel-like factor 1 (erythroid) 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.47	-0.47	N/A
NRGN	ENST00000412681.2	neurogranin (protein kinase C substrate, RC3) 	60	1	0	1	0	1	hsa-miR-1292-5p				-0.47	-0.47	N/A
EFHD1	ENST00000264059.3	EF-hand domain family, member D1 	105	1	1	0	0	0	hsa-miR-1292-5p				-0.47	-0.49	N/A
SERTAD3	ENST00000392028.4	SERTA domain containing 3 	765	2	0	0	2	0	hsa-miR-1292-5p				-0.46	-0.47	N/A
SWI5	ENST00000608796.1	SWI5 recombination repair homolog (yeast) 	4252	1	1	0	0	0	hsa-miR-1292-5p				-0.46	-0.46	N/A
TTYH2	ENST00000269346.4	tweety family member 2 	16	3	0	2	1	1	hsa-miR-1292-5p				-0.46	-0.56	N/A
RP11-93B14.6	ENST00000370520.3	HCG2018282; Uncharacterized protein  	5	2	0	1	1	0	hsa-miR-1292-5p				-0.45	-0.45	N/A
C15orf53	ENST00000318792.1	chromosome 15 open reading frame 53 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.44	-0.44	N/A
MSRB2	ENST00000376510.3	methionine sulfoxide reductase B2 	6585	1	0	1	0	0	hsa-miR-1292-5p				-0.44	-0.44	N/A
TK2	ENST00000299697.7	thymidine kinase 2, mitochondrial 	439	2	0	1	1	1	hsa-miR-1292-5p				-0.44	-0.46	N/A
LRRC69	ENST00000343709.3	leucine rich repeat containing 69 	12	1	1	0	0	0	hsa-miR-1292-5p				-0.44	-0.82	N/A
ANKRD13A	ENST00000261739.4	ankyrin repeat domain 13A 	1644	1	1	0	0	0	hsa-miR-1292-5p				-0.43	-0.43	N/A
SLAMF8	ENST00000289707.5	SLAM family member 8 	5	2	0	0	2	1	hsa-miR-1292-5p				-0.43	-0.43	N/A
RPA3-AS1	ENST00000406829.1	RPA3 antisense RNA 1 	22	2	0	0	2	0	hsa-miR-1292-5p				-0.43	-0.43	N/A
RAB3D	ENST00000222120.3	RAB3D, member RAS oncogene family 	111	2	1	0	1	2	hsa-miR-1292-5p				-0.43	-0.45	N/A
AP5S1	ENST00000379573.2	adaptor-related protein complex 5, sigma 1 subunit 	492	1	1	0	0	0	hsa-miR-1292-5p				-0.42	-0.42	N/A
MYL9	ENST00000279022.2	myosin, light chain 9, regulatory 	1779	2	0	0	2	1	hsa-miR-1292-5p				-0.42	-0.42	N/A
LARP6	ENST00000299213.8	La ribonucleoprotein domain family, member 6 	630	1	0	1	0	1	hsa-miR-1292-5p				-0.42	-0.42	N/A
FAM163A	ENST00000341785.4	family with sequence similarity 163, member A 	23	2	1	1	0	1	hsa-miR-1292-5p				-0.42	-0.45	N/A
SEC14L6	ENST00000402034.2	SEC14-like 6 (S. cerevisiae) 	14	2	0	1	1	1	hsa-miR-1292-5p				-0.42	-0.42	N/A
AP001579.1	ENST00000599569.1	Uncharacterized protein  	47	1	1	0	0	0	hsa-miR-1292-5p				-0.42	-0.42	N/A
CLEC4E	ENST00000299663.3	C-type lectin domain family 4, member E 	5	2	0	0	2	0	hsa-miR-1292-5p				-0.41	-0.41	N/A
FAM46B	ENST00000289166.5	family with sequence similarity 46, member B 	18	1	1	0	0	0	hsa-miR-1292-5p				-0.41	-0.41	N/A
ITPKA	ENST00000260386.5	inositol-trisphosphate 3-kinase A 	119	1	1	0	0	0	hsa-miR-1292-5p				-0.41	-0.41	N/A
TMEM106C	ENST00000429772.2	transmembrane protein 106C 	27951	3	1	0	2	3	hsa-miR-1292-5p				-0.41	-0.76	N/A
C15orf38	ENST00000357484.5	chromosome 15 open reading frame 38 	325	3	1	0	2	0	hsa-miR-1292-5p				-0.41	-0.44	N/A
ZNF365	ENST00000395254.3	zinc finger protein 365 	173	1	1	0	0	0	hsa-miR-1292-5p				-0.41	-0.45	N/A
RTN2	ENST00000245923.4	reticulon 2 	254	1	1	0	0	0	hsa-miR-1292-5p				-0.40	-0.40	N/A
FCGR3A	ENST00000367969.3	Fc fragment of IgG, low affinity IIIa, receptor (CD16a) 	5	2	0	1	1	0	hsa-miR-1292-5p				-0.40	-0.40	N/A
TRIB2	ENST00000155926.4	tribbles pseudokinase 2 	68	2	1	0	1	0	hsa-miR-1292-5p				-0.40	-0.40	N/A
PITPNC1	ENST00000580974.1	phosphatidylinositol transfer protein, cytoplasmic 1 	797	1	1	0	0	0	hsa-miR-1292-5p				-0.40	-0.40	N/A
APPL2	ENST00000258530.3	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 	434	1	1	0	0	0	hsa-miR-1292-5p				-0.40	-0.40	N/A
CLCNKA	ENST00000375692.1	chloride channel, voltage-sensitive Ka 	5	2	0	0	2	0	hsa-miR-1292-5p				-0.39	-0.39	N/A
